study_name	variable_name	variable_label	folder	description	visit	calculation	type	total_subjects	units	n	mean	stddev	median	min	max	unknown		
ABC	ahi_ap0uhp3x3u_f1t1	Apnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation and with or without arousal)  / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Calculated - Summary metric of sleep disordered breathing events.	18-Month Followup	ahi_ap0uhp3x3u_f1t1= 60 * (hrembp3 + hrop3 + hnrbp3 + hnrop3 + urbp3 + urop3 + unrbp3 + unrop3 + carbp + carop + canbp + canop + oarbp + oarop + oanbp + oanop) / ttldursp	numeric		events per hour	40	35.8	24	30.3	4.1	87.3	-		
ABC	ahi_ap0uhp3x4r_f1t1	Apnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Calculated - Summary metric of sleep disordered breathing events.	Baseline	ahi_ap0uhp3x4r_f1t1= 60 * (hremba4 + hroa4 + hnrba4 + hnroa4 + urbpa4 + uropa4 + unrbpa4 + unropa4 + carbp + carop + canbp + canop + oarbp + oarop + oanbp + oanop / ttldursp	numeric		events per hour	49	45	27.8	37.8	0.9	124	-		
ABC	ahi_ap0uhp3x4r_f1t1	Apnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Calculated - Summary metric of sleep disordered breathing events.	9-Month Followup	ahi_ap0uhp3x4r_f1t1= 60 * (hremba4 + hroa4 + hnrba4 + hnroa4 + urbpa4 + uropa4 + unrbpa4 + unropa4 + carbp + carop + canbp + canop + oarbp + oarop + oanbp + oanop / ttldursp	numeric		events per hour	43	33.8	28.4	24.8	3.3	115.6	-		
ABC	ahi_ap0uhp3x4r_f1t1	Apnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Calculated - Summary metric of sleep disordered breathing events.	18-Month Followup	ahi_ap0uhp3x4r_f1t1= 60 * (hremba4 + hroa4 + hnrba4 + hnroa4 + urbpa4 + uropa4 + unrbpa4 + unropa4 + carbp + carop + canbp + canop + oarbp + oarop + oanbp + oanop / ttldursp	numeric		events per hour	40	31.4	22.6	25	3.1	82	-		
ABC	avglvlhr_f1t1	Average heart rate during total sleep duration from type I polysomnography	Sleep Monitoring/Polysomnography		Baseline		numeric		beats per minute (bpm)	49	70.6	9.2	71	48	96	-		
ABC	avglvlhr_f1t1	Average heart rate during total sleep duration from type I polysomnography	Sleep Monitoring/Polysomnography		9-Month Followup		numeric		beats per minute (bpm)	43	67.3	10.4	66	53	96	-		
ABC	avglvlhr_f1t1	Average heart rate during total sleep duration from type I polysomnography	Sleep Monitoring/Polysomnography		18-Month Followup		numeric		beats per minute (bpm)	40	66.5	10.4	65.5	52	94	-		
ABC	avglvlsa_f1t1	Average oxygen saturation level in total sleep duration from type I polysomnography	Sleep Monitoring/Polysomnography		Baseline		numeric		percent (%)	49	92.4	2.5	92.9	85.9	96.9	-		
ABC	avglvlsa_f1t1	Average oxygen saturation level in total sleep duration from type I polysomnography	Sleep Monitoring/Polysomnography		9-Month Followup		numeric		percent (%)	43	93.6	1.7	94	88.8	96	-		
ABC	avglvlsa_f1t1	Average oxygen saturation level in total sleep duration from type I polysomnography	Sleep Monitoring/Polysomnography		18-Month Followup		numeric		percent (%)	40	93.8	1.8	94	87.9	97	-		
ABC	bloods_creactivepro	"C-Reactive Protein, Cardiac"	Clinical Data/Laboratory Tests		Baseline		numeric		mg/L	49	4.9	3.6	4.2	0.2	18.3	-		
ABC	bloods_creactivepro	"C-Reactive Protein, Cardiac"	Clinical Data/Laboratory Tests		9-Month Followup		numeric		mg/L	43	4.6	4.7	3.3	0.3	20.6	-		
ABC	bloods_creactivepro	"C-Reactive Protein, Cardiac"	Clinical Data/Laboratory Tests		18-Month Followup		numeric		mg/L	40	3.5	3.5	2.4	0.5	19.2	-		
ABC	bloods_fibrinactivity	Fibrinogen Activity	Clinical Data/Laboratory Tests		Baseline		numeric		mg/dL	49	325.6	77.1	330	-9	516	-		
ABC	bloods_fibrinactivity	Fibrinogen Activity	Clinical Data/Laboratory Tests		9-Month Followup		numeric		mg/dL	43	319.8	82.2	321	-9	560	-		
ABC	bloods_fibrinactivity	Fibrinogen Activity	Clinical Data/Laboratory Tests		18-Month Followup		numeric		mg/dL	40	315	54.5	306	191	481	-		
ABC	bloods_hdlchol	HDL Cholesterol	Clinical Data/Laboratory Tests		Baseline		numeric		mg/dL	49	42.6	11	40	24	80	-		
ABC	bloods_hdlchol	HDL Cholesterol	Clinical Data/Laboratory Tests		9-Month Followup		numeric		mg/dL	43	45.2	11.8	43	27	79	-		
ABC	bloods_hdlchol	HDL Cholesterol	Clinical Data/Laboratory Tests		18-Month Followup		numeric		mg/dL	40	46.6	12.9	46	28	81	-		
ABC	bloods_hemoa1c	Hemoglobin A1c	Clinical Data/Laboratory Tests		Baseline		numeric		%	49	6.2	0.9	5.9	5.2	9.5	-		
ABC	bloods_hemoa1c	Hemoglobin A1c	Clinical Data/Laboratory Tests		9-Month Followup		numeric		%	43	6.1	1	5.8	5.2	9.8	-		
ABC	bloods_hemoa1c	Hemoglobin A1c	Clinical Data/Laboratory Tests		18-Month Followup		numeric		%	40	6.1	0.9	5.8	5.1	8.6	-		
ABC	bloods_ldlcholcalc	LDL Cholesterol Calc	Clinical Data/Laboratory Tests		Baseline		numeric		mg/dL	49	110.3	35.7	107	-8	179	-		
ABC	bloods_ldlcholcalc	LDL Cholesterol Calc	Clinical Data/Laboratory Tests		9-Month Followup		numeric		mg/dL	43	103.6	33.1	112	-8	160	-		
ABC	bloods_ldlcholcalc	LDL Cholesterol Calc	Clinical Data/Laboratory Tests		18-Month Followup		numeric		mg/dL	40	102.3	44.3	107	-8	184	-		
ABC	bloods_serumgluc	"Glucose, Serum"	Clinical Data/Laboratory Tests		Baseline		numeric		mg/dL	49	105.5	18.4	99	83	158	-		
ABC	bloods_serumgluc	"Glucose, Serum"	Clinical Data/Laboratory Tests		9-Month Followup		numeric		mg/dL	43	105.1	26.4	99	51	188	-		
ABC	bloods_serumgluc	"Glucose, Serum"	Clinical Data/Laboratory Tests		18-Month Followup		numeric		mg/dL	40	105.1	25.1	95	77	204	-		
ABC	bloods_studyvisit	Study Visit	Clinical Data/Laboratory Tests		Baseline		numeric			49	0	0	0	0	0	-		
ABC	bloods_studyvisit	Study Visit	Clinical Data/Laboratory Tests		9-Month Followup		numeric			43	9	0	9	9	9	-		
ABC	bloods_studyvisit	Study Visit	Clinical Data/Laboratory Tests		18-Month Followup		numeric			40	18	0	18	18	18	-		
ABC	bloods_totalchol	"Cholesterol, Total"	Clinical Data/Laboratory Tests		Baseline		numeric		mg/dL	49	189.1	31.8	192	120	268	-		
ABC	bloods_totalchol	"Cholesterol, Total"	Clinical Data/Laboratory Tests		9-Month Followup		numeric		mg/dL	43	181.9	31.9	181	123	251	-		
ABC	bloods_totalchol	"Cholesterol, Total"	Clinical Data/Laboratory Tests		18-Month Followup		numeric		mg/dL	40	189.4	37.4	183	119	283	-		
ABC	bloods_triglyc	Triglycerides	Clinical Data/Laboratory Tests		Baseline		numeric		mg/dL	49	172.5	80.3	151	60	487	-		
ABC	bloods_triglyc	Triglycerides	Clinical Data/Laboratory Tests		9-Month Followup		numeric		mg/dL	43	161.6	91.6	126	54	530	-		
ABC	bloods_triglyc	Triglycerides	Clinical Data/Laboratory Tests		18-Month Followup		numeric		mg/dL	40	169	111.5	143.5	49	548	-		
ABC	bloods_urinecreatin	"Creatinine, Urine"	Clinical Data/Laboratory Tests		Baseline		numeric		mg/dL	49	127.1	75.6	116.2	15.2	311.4	-		
ABC	bloods_urinecreatin	"Creatinine, Urine"	Clinical Data/Laboratory Tests		9-Month Followup		numeric		mg/dL	43	150.2	92.9	130.1	31.3	434.2	-		
ABC	bloods_urinecreatin	"Creatinine, Urine"	Clinical Data/Laboratory Tests		18-Month Followup		numeric		mg/dL	40	150.6	95.5	135.8	18.4	371.8	-		
ABC	bloods_urinemicro	"Microalbumin, Urine"	Clinical Data/Laboratory Tests		Baseline		numeric		ug/mL	49	20.4	36.9	6.1	1.1	221	-		
ABC	bloods_urinemicro	"Microalbumin, Urine"	Clinical Data/Laboratory Tests		9-Month Followup		numeric		ug/mL	43	18.8	25.5	9.9	1	118.3	-		
ABC	bloods_urinemicro	"Microalbumin, Urine"	Clinical Data/Laboratory Tests		18-Month Followup		numeric		ug/mL	40	32.5	86.3	6.9	1.1	511.1	-		
ABC	bloods_vldlcholcal	VLDL Cholesterol Cal	Clinical Data/Laboratory Tests		Baseline		numeric		mg/dL	49	32.3	14.4	30	-8	74	-		
ABC	bloods_vldlcholcal	VLDL Cholesterol Cal	Clinical Data/Laboratory Tests		9-Month Followup		numeric		mg/dL	43	29.6	15.4	25	-8	61	-		
ABC	bloods_vldlcholcal	VLDL Cholesterol Cal	Clinical Data/Laboratory Tests		18-Month Followup		numeric		mg/dL	40	25.9	16.1	25.5	-8	66	-		
ABC	bmi	Body mass index (BMI)	Anthropometry		Baseline		numeric		kilograms per meter squared (kg/m2)	49	38.9	3	38.9	34.3	45.3	-		
ABC	bmi	Body mass index (BMI)	Anthropometry		9-Month Followup		numeric		kilograms per meter squared (kg/m2)	43	36.3	3.6	35.8	28	45.4	-		
ABC	bmi	Body mass index (BMI)	Anthropometry		18-Month Followup		numeric		kilograms per meter squared (kg/m2)	40	36.2	4.1	35.9	28.4	46	-		
ABC	cahi_ca0uhp3x3u_f1t1	Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with > 3% desaturation and with or without arousal) / hour of sleep from type I polysomnography from type I polysomnography	Sleep Monitoring/Polysomnography	Calculated - Summary metric of sleep disordered breathing events.	Baseline	cahi_ca0uhp3x3u_f1t1= 60 * (hrembp3 + hrop3 + hnrbp3 + hnrop3 + urbp3 + urop3 + unrbp3 + unrop3 + carbp + carop + canbp + canop) / ttldursp	numeric		events per hour	49	38.1	16.4	36.4	0.9	72.1	-		
ABC	cahi_ca0uhp3x3u_f1t1	Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with > 3% desaturation and with or without arousal) / hour of sleep from type I polysomnography from type I polysomnography	Sleep Monitoring/Polysomnography	Calculated - Summary metric of sleep disordered breathing events.	9-Month Followup	cahi_ca0uhp3x3u_f1t1= 60 * (hrembp3 + hrop3 + hnrbp3 + hnrop3 + urbp3 + urop3 + unrbp3 + unrop3 + carbp + carop + canbp + canop) / ttldursp	numeric		events per hour	43	28.7	18	24.5	5.1	88	-		
ABC	cahi_ca0uhp3x3u_f1t1	Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with > 3% desaturation and with or without arousal) / hour of sleep from type I polysomnography from type I polysomnography	Sleep Monitoring/Polysomnography	Calculated - Summary metric of sleep disordered breathing events.	18-Month Followup	cahi_ca0uhp3x3u_f1t1= 60 * (hrembp3 + hrop3 + hnrbp3 + hnrop3 + urbp3 + urop3 + unrbp3 + unrop3 + carbp + carop + canbp + canop) / ttldursp	numeric		events per hour	40	30.1	20.2	28.1	4.1	80.2	-		
ABC	cahi_ca0uhp3x4r_f1t1	Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with > 4% desaturation or with arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Calculated - Summary metric of sleep disordered breathing events.	Baseline	cahi_ca0uhp3x4r_f1t1= 60 * (hremba4 + hroa4 + hnrba4 + hnroa4 + urbpa4 + uropa4 + unrbpa4 + unropa4 + carbp + carop + canbp + canop) / ttldursp	numeric		events per hour	49	32.9	16.2	29.8	0.9	64.6	-		
ABC	cahi_ca0uhp3x4r_f1t1	Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with > 4% desaturation or with arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Calculated - Summary metric of sleep disordered breathing events.	9-Month Followup	cahi_ca0uhp3x4r_f1t1= 60 * (hremba4 + hroa4 + hnrba4 + hnroa4 + urbpa4 + uropa4 + unrbpa4 + unropa4 + carbp + carop + canbp + canop) / ttldursp	numeric		events per hour	43	24.8	16.9	21.2	3.3	81.8	-		
ABC	cahi_ca0uhp3x4r_f1t1	Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with > 4% desaturation or with arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Calculated - Summary metric of sleep disordered breathing events.	18-Month Followup	cahi_ca0uhp3x4r_f1t1= 60 * (hremba4 + hroa4 + hnrba4 + hnroa4 + urbpa4 + uropa4 + unrbpa4 + unropa4 + carbp + carop + canbp + canop) / ttldursp	numeric		events per hour	40	25.7	18.4	22.5	3.1	76.4	-		
ABC	cai_ca0u_f1t1	Central Apnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Calculated - Summary metric of sleep disordered breathing events.	Baseline	cai_ca0u_f1t1= 60 * (carbp + carop + canbp + canop) / ttldursp	numeric		events per hour	49	0.8	1.9	0	0	7.5	-		
ABC	cai_ca0u_f1t1	Central Apnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Calculated - Summary metric of sleep disordered breathing events.	9-Month Followup	cai_ca0u_f1t1= 60 * (carbp + carop + canbp + canop) / ttldursp	numeric		events per hour	43	0.8	3.7	0	0	24	-		
ABC	cai_ca0u_f1t1	Central Apnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Calculated - Summary metric of sleep disordered breathing events.	18-Month Followup	cai_ca0u_f1t1= 60 * (carbp + carop + canbp + canop) / ttldursp	numeric		events per hour	40	0.8	2.2	0.2	0	12.9	-		
ABC	daystomonth09	Days from baseline to 9-month visit	Administrative		Baseline		numeric		days	-	-	-	-	-	-	-		
ABC	daystomonth09	Days from baseline to 9-month visit	Administrative		9-Month Followup		numeric		days	43	295	33.2	282	244	408	-		
ABC	daystomonth09	Days from baseline to 9-month visit	Administrative		18-Month Followup		numeric		days	-	-	-	-	-	-	-		
ABC	daystomonth18	Days from baseline to 18-month visit	Administrative		Baseline		numeric		days	-	-	-	-	-	-	-		
ABC	daystomonth18	Days from baseline to 18-month visit	Administrative		9-Month Followup		numeric		days	-	-	-	-	-	-	-		
ABC	daystomonth18	Days from baseline to 18-month visit	Administrative		18-Month Followup		numeric		days	40	576.5	58.4	561	514	813	-		
ABC	daystosurgery	Days from baseline to laparoscopic gastric banding (LGB) surgery	Administrative		Baseline		numeric		days	15	122.4	91.7	95	55	426	34		
ABC	daystosurgery	Days from baseline to laparoscopic gastric banding (LGB) surgery	Administrative		9-Month Followup		numeric		days	-	-	-	-	-	-	-		
ABC	daystosurgery	Days from baseline to laparoscopic gastric banding (LGB) surgery	Administrative		18-Month Followup		numeric		days	-	-	-	-	-	-	-		
ABC	epinephrine	Epinephrine	Clinical Data/Laboratory Tests		Baseline		numeric		ng/mL	49	2.5	1.3	2.1	0.7	5.7	-		
ABC	epinephrine	Epinephrine	Clinical Data/Laboratory Tests		9-Month Followup		numeric		ng/mL	42	7.3	5.6	5.3	1.7	22.7	1		
ABC	epinephrine	Epinephrine	Clinical Data/Laboratory Tests		18-Month Followup		numeric		ng/mL	39	6.2	4.4	4.7	1.1	16	1		
ABC	ess_total	Epworth Sleepiness Scale: Total score	Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS)	Calculated - Total score based on an 8-item questionnaires ranking likelihood of dozing off Johns MW 1991 (PubMed ID: 1798888). Scale 0-3 for individual items; 0 to 24 for overall score.	Baseline	ess_total=ess_1sitread+ess_2watchingtv+ess_3sitinactive+ess_4passenger+ess_5lyingdown+ess_6sittalk+ess_7afterlunch+ess_8stoppedcar	integer			49	10.1	4.5	9	3	22	-		
ABC	ess_total	Epworth Sleepiness Scale: Total score	Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS)	Calculated - Total score based on an 8-item questionnaires ranking likelihood of dozing off Johns MW 1991 (PubMed ID: 1798888). Scale 0-3 for individual items; 0 to 24 for overall score.	9-Month Followup	ess_total=ess_1sitread+ess_2watchingtv+ess_3sitinactive+ess_4passenger+ess_5lyingdown+ess_6sittalk+ess_7afterlunch+ess_8stoppedcar	integer			43	7.7	4.6	6	0	19	-		
ABC	ess_total	Epworth Sleepiness Scale: Total score	Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS)	Calculated - Total score based on an 8-item questionnaires ranking likelihood of dozing off Johns MW 1991 (PubMed ID: 1798888). Scale 0-3 for individual items; 0 to 24 for overall score.	18-Month Followup	ess_total=ess_1sitread+ess_2watchingtv+ess_3sitinactive+ess_4passenger+ess_5lyingdown+ess_6sittalk+ess_7afterlunch+ess_8stoppedcar	integer			40	7.3	4.2	6	2	20	-		
ABC	giqli_emot	Gastrointestinal Quality of Life Index: Emotions subscore	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on 5 items from the Gastrointestinal Quality of Life Index. A high score suggests better emotional status. Eypasch E et al.,1995 (PubMed ID: 7749697)"	Baseline		numeric			49	13.4	2.9	14	4	17	-		
ABC	giqli_emot	Gastrointestinal Quality of Life Index: Emotions subscore	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on 5 items from the Gastrointestinal Quality of Life Index. A high score suggests better emotional status. Eypasch E et al.,1995 (PubMed ID: 7749697)"	9-Month Followup		numeric			43	13.8	2.9	15	4	17	-		
ABC	giqli_emot	Gastrointestinal Quality of Life Index: Emotions subscore	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on 5 items from the Gastrointestinal Quality of Life Index. A high score suggests better emotional status. Eypasch E et al.,1995 (PubMed ID: 7749697)"	18-Month Followup		numeric			40	14.2	2.2	15	9	17	-		
ABC	giqli_emot_w	Gastrointestinal Quality of Life Index: Emotions subscore (weighted)	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on 5 items from the Gastrointestinal Quality of Life Index. A high score suggests better emotional status. Eypasch E et al.,1995 (PubMed ID: 7749697)"	Baseline		numeric			49	2.7	0.6	2.8	0.8	3.4	-		
ABC	giqli_emot_w	Gastrointestinal Quality of Life Index: Emotions subscore (weighted)	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on 5 items from the Gastrointestinal Quality of Life Index. A high score suggests better emotional status. Eypasch E et al.,1995 (PubMed ID: 7749697)"	9-Month Followup		numeric			43	2.8	0.6	3	0.8	3.4	-		
ABC	giqli_emot_w	Gastrointestinal Quality of Life Index: Emotions subscore (weighted)	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on 5 items from the Gastrointestinal Quality of Life Index. A high score suggests better emotional status. Eypasch E et al.,1995 (PubMed ID: 7749697)"	18-Month Followup		numeric			40	2.8	0.4	3	1.8	3.4	-		
ABC	giqli_med	Gastrointestinal Quality of Life Index: Medical treatment subscore	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on one item from the Gastrointestinal Quality of Life Index. A high score suggests less medical treatment. Eypasch E et al.,1995 (PubMed ID: 7749697)"	Baseline		numeric			49	3.5	1	4	0	4	-		
ABC	giqli_med	Gastrointestinal Quality of Life Index: Medical treatment subscore	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on one item from the Gastrointestinal Quality of Life Index. A high score suggests less medical treatment. Eypasch E et al.,1995 (PubMed ID: 7749697)"	9-Month Followup		numeric			43	3.6	0.7	4	2	4	-		
ABC	giqli_med	Gastrointestinal Quality of Life Index: Medical treatment subscore	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on one item from the Gastrointestinal Quality of Life Index. A high score suggests less medical treatment. Eypasch E et al.,1995 (PubMed ID: 7749697)"	18-Month Followup		numeric			40	3.6	0.9	4	0	4	-		
ABC	giqli_namecode	Namecode	General Health/Gastrointestinal Quality of Life Index		Baseline		numeric			49	0	0	0	0	0	-		
ABC	giqli_namecode	Namecode	General Health/Gastrointestinal Quality of Life Index		9-Month Followup		numeric			43	0	0	0	0	0	-		
ABC	giqli_namecode	Namecode	General Health/Gastrointestinal Quality of Life Index		18-Month Followup		numeric			40	0	0	0	0	0	-		
ABC	giqli_phys	Gastrointestinal Quality of Life Index: Physical function subscore	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on 7 items from the Gastrointestinal Quality of Life Index. A high score suggests better physical function. Eypasch E et al.,1995 (PubMed ID: 7749697)"	Baseline		numeric			49	14.4	6.3	15	1	26	-		
ABC	giqli_phys	Gastrointestinal Quality of Life Index: Physical function subscore	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on 7 items from the Gastrointestinal Quality of Life Index. A high score suggests better physical function. Eypasch E et al.,1995 (PubMed ID: 7749697)"	9-Month Followup		numeric			43	18.4	7.2	20	4	27	-		
ABC	giqli_phys	Gastrointestinal Quality of Life Index: Physical function subscore	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on 7 items from the Gastrointestinal Quality of Life Index. A high score suggests better physical function. Eypasch E et al.,1995 (PubMed ID: 7749697)"	18-Month Followup		numeric			40	19.3	5.7	20	7	27	-		
ABC	giqli_phys_w	Gastrointestinal Quality of Life Index: Physical function subscore (weighted)	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on 7 items from the Gastrointestinal Quality of Life Index. A high score suggests better physical function. Eypasch E et al.,1995 (PubMed ID: 7749697)"	Baseline		numeric			49	2.1	0.9	2.1	0.1	3.7	-		
ABC	giqli_phys_w	Gastrointestinal Quality of Life Index: Physical function subscore (weighted)	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on 7 items from the Gastrointestinal Quality of Life Index. A high score suggests better physical function. Eypasch E et al.,1995 (PubMed ID: 7749697)"	9-Month Followup		numeric			43	2.6	1	2.9	0.6	3.9	-		
ABC	giqli_phys_w	Gastrointestinal Quality of Life Index: Physical function subscore (weighted)	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on 7 items from the Gastrointestinal Quality of Life Index. A high score suggests better physical function. Eypasch E et al.,1995 (PubMed ID: 7749697)"	18-Month Followup		numeric			40	2.8	0.8	2.9	1	3.9	-		
ABC	giqli_social	Gastrointestinal Quality of Life Index: Social function subscore	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on 4 items from the Gastrointestinal Quality of Life Index. A high score suggests better social function. Eypasch E et al.,1995 (PubMed ID: 7749697)"	Baseline		numeric			49	9.9	2.3	11	5	13	-		
ABC	giqli_social	Gastrointestinal Quality of Life Index: Social function subscore	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on 4 items from the Gastrointestinal Quality of Life Index. A high score suggests better social function. Eypasch E et al.,1995 (PubMed ID: 7749697)"	9-Month Followup		numeric			43	10.9	2.2	12	5	15	-		
ABC	giqli_social	Gastrointestinal Quality of Life Index: Social function subscore	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on 4 items from the Gastrointestinal Quality of Life Index. A high score suggests better social function. Eypasch E et al.,1995 (PubMed ID: 7749697)"	18-Month Followup		numeric			40	10.8	1.9	11	7	14	-		
ABC	giqli_social_w	Gastrointestinal Quality of Life Index: Social function subscore (weighted)	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on 4 items from the Gastrointestinal Quality of Life Index. A high score suggests better social function. Eypasch E et al.,1995 (PubMed ID: 7749697)"	Baseline		numeric			49	2.5	0.6	2.8	1.3	3.3	-		
ABC	giqli_social_w	Gastrointestinal Quality of Life Index: Social function subscore (weighted)	General Health/Gastrointestinal Quality of Life Index	"The subscale score is based on 4 items from the Gastrointestinal Quality of Life Index. A high score suggests better social function. Eypasch E et al.,1995 (PubMed ID: 7749697)"	9-Month Followup		numeric			43	2.7	0.6	3	1.3	3.8	-		
