study_name	variable_name	variable_label	folder	description	visit	calculation	type	total_subjects	units	n	mean	stddev	median	min	max	unknown
BESTAIR	nreadings	Number of readings	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Number of readings	Month-12 Follow-up Visit		integer			75	76.2	14	77	30	102	33
BESTAIR	nsleep	Number of sleep readings	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Number of sleep readings	Baseline Visit		integer			162	15.9	4.3	16	2	30	7
BESTAIR	nsleep	Number of sleep readings	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Number of sleep readings	Month-6 Follow-up Visit		integer			126	16.5	4.6	16	2	37	43
BESTAIR	nsleep	Number of sleep readings	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Number of sleep readings	Month-12 Follow-up Visit		integer			73	16	3.8	16	6	24	35
BESTAIR	nvalid	Number of valid readings	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Number of valid readings	Baseline Visit		integer			166	53.2	11.4	55.5	1	76	3
BESTAIR	nvalid	Number of valid readings	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Number of valid readings	Month-6 Follow-up Visit		integer			131	53.1	11.1	55	6	67	38
BESTAIR	nvalid	Number of valid readings	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Number of valid readings	Month-12 Follow-up Visit		integer			75	52.5	12	56	13	72	33
BESTAIR	nwake	Number of awake readings	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Number of awake readings	Baseline Visit		integer			166	37.7	10.1	39.5	1	63	3
BESTAIR	nwake	Number of awake readings	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Number of awake readings	Month-6 Follow-up Visit		integer			130	37.5	9	39	6	53	39
BESTAIR	nwake	Number of awake readings	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Number of awake readings	Month-12 Follow-up Visit		integer			75	36.9	10.9	39	8	58	33
DISECAD	nsrr_bp_systolic	Systolic blood pressure	Harmonized/Physiologic Measurements	Systolic blood pressure			integer		millimeters of mercury (mmHg)							
DISECAD	iq_height	Height (intake_questionnaire)	Anthropometry	Height (intake_questionnaire)			integer		inches (in)							
DISECAD	iq_hr	Heart Rate (intake_questionnaire)	Physiologic Measurements/Vital Signs	Heart Rate (intake_questionnaire)			integer		beats per minute (bpm)							
DISECAD	iq_spo2	Blood Oxygen (intake_questionnaire)	Physiologic Measurements/Vital Signs	Blood Oxygen (intake_questionnaire)			integer		percent (%)							
DISECAD	iq_diastolicbp	Diastolic BP (intake_questionnaire)	Physiologic Measurements/Vital Signs/Seated Blood Pressure	Diastolic BP (intake_questionnaire)			integer		millimeters of mercury (mmHg)							
DISECAD	iq_systolicbp	Systolic BP (intake_questionnaire)	Physiologic Measurements/Vital Signs/Seated Blood Pressure	Systolic BP (intake_questionnaire)			integer		millimeters of mercury (mmHg)							
FDCSR	age	Participant's age	Demographics	Participant's age	Lab Visit		integer			28	26.1	4.4	25	20	34	-
FDCSR	nsrr_age	Age of the participant	Harmonized/Demographics	Age of the participant			integer									
FDCSR	end_analysis_spn	End analysis sleep period number (SPn)	Sleep Monitoring/Circadian Rhythm	End analysis sleep period number (SPn)	Lab Visit		integer			28	27.9	6.6	33	13	33	-
FDCSR	start_analysis_spn	Start analysis sleep period number (SPn)	Sleep Monitoring/Circadian Rhythm	Start analysis sleep period number (SPn)	Lab Visit		integer			28	10	0	10	10	10	-
FFCWS	a6_month	Month of Sleep Data Collection	Sleep Monitoring/Actigraphy/Administrative	Month of Sleep Data Collection	Year 15 Wave 6		integer			923	6.3	2.9	6	1	12	3975
FFCWS	a6_vday_n	Total Num of Valid Days	Sleep Monitoring/Actigraphy/Administrative	Total Num of Valid Days	Year 15 Wave 6		integer			923	5.9	2.5	6	1	16	3975
FFCWS	a6_year	Year of Sleep Data Collection	Sleep Monitoring/Actigraphy/Administrative	Year of Sleep Data Collection	Year 15 Wave 6		integer			923	2014.8	0.4	2015	2014	2016	3975
HAASSA	epworthx7	EX7: Epworth score (has up to 2 DK items)		EX7: Epworth score (has up to 2 DK items)			integer									
HCHS	cohort	Cohort Year (from Household Address Wave Assignment)	Administrative/Study Design	Cohort Year (from Household Address Wave Assignment)	Baseline		integer			14155	1.8	0.8	2	1	3	2260
HCHS	hba1c_si	Glycosylated Hemoglobin (HbA1c) in SI units (mmol/mol), nearest integer	Clinical Data/Laboratory Tests	Glycosylated Hemoglobin (HbA1c) in SI units (mmol/mol), nearest integer	Baseline		integer		mmol per mol	13972	41.1	14.3	38	13	185	2443
HOMEPAP	esstotal	Epworth Sleepiness Scale (ESS): Total Score	Sleep Questionnaires/Hypersomnia	Epworth Sleepiness Scale (ESS): Total Score	Baseline Visit		integer			334	14.1	3.7	14	3	24	39
HOMEPAP	esstotal	Epworth Sleepiness Scale (ESS): Total Score	Sleep Questionnaires/Hypersomnia	Epworth Sleepiness Scale (ESS): Total Score	Month 1 Follow-up Visit		integer			155	8.7	4.5	8	0	22	218
HOMEPAP	esstotal	Epworth Sleepiness Scale (ESS): Total Score	Sleep Questionnaires/Hypersomnia	Epworth Sleepiness Scale (ESS): Total Score	Month 3 Follow-up Visit		integer			142	7.2	4.2	6	1	21	231
HOMEPAP	pressure	Optimal titration pressure	Administrative	Optimal titration pressure	Baseline Visit		integer		centimeters of water	178	10.7	2.9	10	6	20	195
HOMEPAP	pressure	Optimal titration pressure	Administrative	Optimal titration pressure	Month 1 Follow-up Visit		integer		centimeters of water	-	-	-	-	-	-	-
HOMEPAP	pressure	Optimal titration pressure	Administrative	Optimal titration pressure	Month 3 Follow-up Visit		integer		centimeters of water	-	-	-	-	-	-	-
ISAPS	nsrr_age	Subject age	Harmonized/Demographic	Subject age	Baseline Visit		integer		years	34	28	1.8	28	24	32	-
LOFTHF	subinfo_strat_composite	Subinfo: Stratification Composite (DCC USE ONLY)	Administrative/Screening Visit	Subinfo: Stratification Composite (DCC USE ONLY)	Screening Visit		integer			98	1.4	1.2	2	-2	2	76
LOFTHF	subinfo_strat_composite	Subinfo: Stratification Composite (DCC USE ONLY)	Administrative/Screening Visit	Subinfo: Stratification Composite (DCC USE ONLY)	Baseline Visit		integer			-	-	-	-	-	-	98
LOFTHF	subinfo_strat_composite	Subinfo: Stratification Composite (DCC USE ONLY)	Administrative/Screening Visit	Subinfo: Stratification Composite (DCC USE ONLY)	6-Month Visit		integer			-	-	-	-	-	-	76
LOFTHF	subinfo_strat_composite	Subinfo: Stratification Composite (DCC USE ONLY)	Administrative/Screening Visit	Subinfo: Stratification Composite (DCC USE ONLY)	12-Month Visit		integer			-	-	-	-	-	-	41
LOFTHF	subinfo_days_rndm_to_bnp	Subinfo: Days from Randomization to BNP	Administrative/Study Design	Subinfo: Days from Randomization to BNP	Screening Visit		integer		days from index date	96	-181.8	174.2	-139	-910	116	78
LOFTHF	subinfo_days_rndm_to_bnp	Subinfo: Days from Randomization to BNP	Administrative/Study Design	Subinfo: Days from Randomization to BNP	Baseline Visit		integer		days from index date	-	-	-	-	-	-	98
LOFTHF	subinfo_days_rndm_to_bnp	Subinfo: Days from Randomization to BNP	Administrative/Study Design	Subinfo: Days from Randomization to BNP	6-Month Visit		integer		days from index date	-	-	-	-	-	-	76
LOFTHF	subinfo_days_rndm_to_bnp	Subinfo: Days from Randomization to BNP	Administrative/Study Design	Subinfo: Days from Randomization to BNP	12-Month Visit		integer		days from index date	-	-	-	-	-	-	41
LOFTHF	subinfo_days_rndm_to_covdcontact	Subinfo: Days from Randomization to Covid Contact	Administrative/Study Design	Subinfo: Days from Randomization to Covid Contact	Screening Visit		integer		days from index date	54	-39.2	50.3	-25	-184	74	120
LOFTHF	subinfo_days_rndm_to_covdcontact	Subinfo: Days from Randomization to Covid Contact	Administrative/Study Design	Subinfo: Days from Randomization to Covid Contact	Baseline Visit		integer		days from index date	-	-	-	-	-	-	98
LOFTHF	subinfo_days_rndm_to_covdcontact	Subinfo: Days from Randomization to Covid Contact	Administrative/Study Design	Subinfo: Days from Randomization to Covid Contact	6-Month Visit		integer		days from index date	-	-	-	-	-	-	76
LOFTHF	subinfo_days_rndm_to_covdcontact	Subinfo: Days from Randomization to Covid Contact	Administrative/Study Design	Subinfo: Days from Randomization to Covid Contact	12-Month Visit		integer		days from index date	-	-	-	-	-	-	41
LOFTHF	subinfo_days_rndm_to_covid	Subinfo: Number of days from randomization to the start of the COVID-19 pandemic (approximation)	Administrative/Study Design	Subinfo: Number of days from randomization to the start of the COVID-19 pandemic (approximation)	Screening Visit		integer		days from index date	98	-184.3	184	-223	-443	166	76
LOFTHF	subinfo_days_rndm_to_covid	Subinfo: Number of days from randomization to the start of the COVID-19 pandemic (approximation)	Administrative/Study Design	Subinfo: Number of days from randomization to the start of the COVID-19 pandemic (approximation)	Baseline Visit		integer		days from index date	-	-	-	-	-	-	98
LOFTHF	subinfo_days_rndm_to_covid	Subinfo: Number of days from randomization to the start of the COVID-19 pandemic (approximation)	Administrative/Study Design	Subinfo: Number of days from randomization to the start of the COVID-19 pandemic (approximation)	6-Month Visit		integer		days from index date	-	-	-	-	-	-	76
LOFTHF	subinfo_days_rndm_to_covid	Subinfo: Number of days from randomization to the start of the COVID-19 pandemic (approximation)	Administrative/Study Design	Subinfo: Number of days from randomization to the start of the COVID-19 pandemic (approximation)	12-Month Visit		integer		days from index date	-	-	-	-	-	-	41
LOFTHF	subinfo_days_rndm_to_creatinine	Subinfo: Days from Randomization to Creatinine	Administrative/Study Design	Subinfo: Days from Randomization to Creatinine	Screening Visit		integer		days from index date	98	-110.3	125.6	-64	-615	8	76
LOFTHF	subinfo_days_rndm_to_creatinine	Subinfo: Days from Randomization to Creatinine	Administrative/Study Design	Subinfo: Days from Randomization to Creatinine	Baseline Visit		integer		days from index date	-	-	-	-	-	-	98
LOFTHF	subinfo_days_rndm_to_creatinine	Subinfo: Days from Randomization to Creatinine	Administrative/Study Design	Subinfo: Days from Randomization to Creatinine	6-Month Visit		integer		days from index date	-	-	-	-	-	-	76
LOFTHF	subinfo_days_rndm_to_creatinine	Subinfo: Days from Randomization to Creatinine	Administrative/Study Design	Subinfo: Days from Randomization to Creatinine	12-Month Visit		integer		days from index date	-	-	-	-	-	-	41
LOFTHF	subinfo_days_rndm_to_gfr	Subinfo: Days from Randomization to QFR	Administrative/Study Design	Subinfo: Days from Randomization to QFR	Screening Visit		integer		days from index date	98	-113.5	126.1	-65	-615	8	76
LOFTHF	subinfo_days_rndm_to_gfr	Subinfo: Days from Randomization to QFR	Administrative/Study Design	Subinfo: Days from Randomization to QFR	Baseline Visit		integer		days from index date	-	-	-	-	-	-	98
LOFTHF	subinfo_days_rndm_to_gfr	Subinfo: Days from Randomization to QFR	Administrative/Study Design	Subinfo: Days from Randomization to QFR	6-Month Visit		integer		days from index date	-	-	-	-	-	-	76
LOFTHF	subinfo_days_rndm_to_gfr	Subinfo: Days from Randomization to QFR	Administrative/Study Design	Subinfo: Days from Randomization to QFR	12-Month Visit		integer		days from index date	-	-	-	-	-	-	41
LOFTHF	subinfo_days_rndm_to_lvef	Subinfo: Days from Randomization to left ventricular ejection fraction (LVEF)	Administrative/Study Design	Subinfo: Days from Randomization to left ventricular ejection fraction (LVEF)	Screening Visit		integer		days from index date	98	-243.7	274	-176.5	-2172	243	76
LOFTHF	subinfo_days_rndm_to_lvef	Subinfo: Days from Randomization to left ventricular ejection fraction (LVEF)	Administrative/Study Design	Subinfo: Days from Randomization to left ventricular ejection fraction (LVEF)	Baseline Visit		integer		days from index date	-	-	-	-	-	-	98
LOFTHF	subinfo_days_rndm_to_lvef	Subinfo: Days from Randomization to left ventricular ejection fraction (LVEF)	Administrative/Study Design	Subinfo: Days from Randomization to left ventricular ejection fraction (LVEF)	6-Month Visit		integer		days from index date	-	-	-	-	-	-	76
LOFTHF	subinfo_days_rndm_to_lvef	Subinfo: Days from Randomization to left ventricular ejection fraction (LVEF)	Administrative/Study Design	Subinfo: Days from Randomization to left ventricular ejection fraction (LVEF)	12-Month Visit		integer		days from index date	-	-	-	-	-	-	41
LOFTHF	subinfo_days_rndm_to_screeninit	Subinfo: Days from Randomization to Screening Initialization	Administrative/Study Design	Subinfo: Days from Randomization to Screening Initialization	Screening Visit		integer		days from index date	98	-70.5	84.9	-40.5	-452	-4	76
LOFTHF	subinfo_days_rndm_to_screeninit	Subinfo: Days from Randomization to Screening Initialization	Administrative/Study Design	Subinfo: Days from Randomization to Screening Initialization	Baseline Visit		integer		days from index date	-	-	-	-	-	-	98
LOFTHF	subinfo_days_rndm_to_screeninit	Subinfo: Days from Randomization to Screening Initialization	Administrative/Study Design	Subinfo: Days from Randomization to Screening Initialization	6-Month Visit		integer		days from index date	-	-	-	-	-	-	76
LOFTHF	subinfo_days_rndm_to_screeninit	Subinfo: Days from Randomization to Screening Initialization	Administrative/Study Design	Subinfo: Days from Randomization to Screening Initialization	12-Month Visit		integer		days from index date	-	-	-	-	-	-	41
LOFTHF	subinfo_days_rndm_to_stop_partc	Subinfo: Days from Randomization to Study Stop (see stop_type for reason)	Administrative/Study Design	Subinfo: Days from Randomization to Study Stop (see stop_type for reason)	Screening Visit		integer		days from index date	35	278.8	192.8	259	0	711	139
LOFTHF	subinfo_days_rndm_to_stop_partc	Subinfo: Days from Randomization to Study Stop (see stop_type for reason)	Administrative/Study Design	Subinfo: Days from Randomization to Study Stop (see stop_type for reason)	Baseline Visit		integer		days from index date	-	-	-	-	-	-	98
LOFTHF	subinfo_days_rndm_to_stop_partc	Subinfo: Days from Randomization to Study Stop (see stop_type for reason)	Administrative/Study Design	Subinfo: Days from Randomization to Study Stop (see stop_type for reason)	6-Month Visit		integer		days from index date	-	-	-	-	-	-	76
LOFTHF	subinfo_days_rndm_to_stop_partc	Subinfo: Days from Randomization to Study Stop (see stop_type for reason)	Administrative/Study Design	Subinfo: Days from Randomization to Study Stop (see stop_type for reason)	12-Month Visit		integer		days from index date	-	-	-	-	-	-	41
LOFTHF	subinfo_month_rndm_to_dob	Subinfo: Months from Randomization to DOB (Age in Months)	Administrative/Study Design	Subinfo: Months from Randomization to DOB (Age in Months)	Screening Visit		integer		months from index date	98	-749.1	139	-738	-1050	-405	76
LOFTHF	subinfo_month_rndm_to_dob	Subinfo: Months from Randomization to DOB (Age in Months)	Administrative/Study Design	Subinfo: Months from Randomization to DOB (Age in Months)	Baseline Visit		integer		months from index date	-	-	-	-	-	-	98
LOFTHF	subinfo_month_rndm_to_dob	Subinfo: Months from Randomization to DOB (Age in Months)	Administrative/Study Design	Subinfo: Months from Randomization to DOB (Age in Months)	6-Month Visit		integer		months from index date	-	-	-	-	-	-	76
LOFTHF	subinfo_month_rndm_to_dob	Subinfo: Months from Randomization to DOB (Age in Months)	Administrative/Study Design	Subinfo: Months from Randomization to DOB (Age in Months)	12-Month Visit		integer		months from index date	-	-	-	-	-	-	41
LOFTHF	eq5d_days_since_rndm	EuroQol- 5 Dimension (EQ-5D): Days from Randomization to EQ-5D	General Health and Mood Questionnaires/EuroQol-Five Dimension Health Questionnaire (EQ-5D)	EuroQol- 5 Dimension (EQ-5D): Days from Randomization to EQ-5D	Screening Visit		integer		days from index date	-	-	-	-	-	-	174
LOFTHF	eq5d_days_since_rndm	EuroQol- 5 Dimension (EQ-5D): Days from Randomization to EQ-5D	General Health and Mood Questionnaires/EuroQol-Five Dimension Health Questionnaire (EQ-5D)	EuroQol- 5 Dimension (EQ-5D): Days from Randomization to EQ-5D	Baseline Visit		integer		days from index date	96	0	5.6	0	-14	32	2
LOFTHF	eq5d_days_since_rndm	EuroQol- 5 Dimension (EQ-5D): Days from Randomization to EQ-5D	General Health and Mood Questionnaires/EuroQol-Five Dimension Health Questionnaire (EQ-5D)	EuroQol- 5 Dimension (EQ-5D): Days from Randomization to EQ-5D	6-Month Visit		integer		days from index date	72	194	25.2	186	153	319	4
LOFTHF	eq5d_days_since_rndm	EuroQol- 5 Dimension (EQ-5D): Days from Randomization to EQ-5D	General Health and Mood Questionnaires/EuroQol-Five Dimension Health Questionnaire (EQ-5D)	EuroQol- 5 Dimension (EQ-5D): Days from Randomization to EQ-5D	12-Month Visit		integer		days from index date	33	378.1	31.5	369	348	523	8
LOFTHF	eq5d_vas_health_today	"EuroQol- 5 Dimension (EQ-5D): Visual analogue scale (VAS), ""Your Health Today"" (range: 0-100)"	General Health and Mood Questionnaires/EuroQol-Five Dimension Health Questionnaire (EQ-5D)	"EuroQol- 5 Dimension (EQ-5D): Visual analogue scale (VAS), ""Your Health Today"" (range: 0-100)"	Screening Visit		integer			-	-	-	-	-	-	174
LOFTHF	eq5d_vas_health_today	"EuroQol- 5 Dimension (EQ-5D): Visual analogue scale (VAS), ""Your Health Today"" (range: 0-100)"	General Health and Mood Questionnaires/EuroQol-Five Dimension Health Questionnaire (EQ-5D)	"EuroQol- 5 Dimension (EQ-5D): Visual analogue scale (VAS), ""Your Health Today"" (range: 0-100)"	Baseline Visit		integer			97	60.3	20.3	60	0	100	1
LOFTHF	eq5d_vas_health_today	"EuroQol- 5 Dimension (EQ-5D): Visual analogue scale (VAS), ""Your Health Today"" (range: 0-100)"	General Health and Mood Questionnaires/EuroQol-Five Dimension Health Questionnaire (EQ-5D)	"EuroQol- 5 Dimension (EQ-5D): Visual analogue scale (VAS), ""Your Health Today"" (range: 0-100)"	6-Month Visit		integer			72	62.8	21.6	65	0	100	4
LOFTHF	eq5d_vas_health_today	"EuroQol- 5 Dimension (EQ-5D): Visual analogue scale (VAS), ""Your Health Today"" (range: 0-100)"	General Health and Mood Questionnaires/EuroQol-Five Dimension Health Questionnaire (EQ-5D)	"EuroQol- 5 Dimension (EQ-5D): Visual analogue scale (VAS), ""Your Health Today"" (range: 0-100)"	12-Month Visit		integer			32	62.9	20.1	70	10	95	9
LOFTHF	phq8_days_since_rndm	Patient Health Questionnaire (PHQ)-8: Days from Randomization to Patient Health Questionnaire (PHQ)-8	General Health and Mood Questionnaires/Mental and Psychiatric Health/Depression/Patient Health Questionnaire (PHQ-8)	Patient Health Questionnaire (PHQ)-8: Days from Randomization to Patient Health Questionnaire (PHQ)-8	Screening Visit		integer		days from index date	-	-	-	-	-	-	174
LOFTHF	phq8_days_since_rndm	Patient Health Questionnaire (PHQ)-8: Days from Randomization to Patient Health Questionnaire (PHQ)-8	General Health and Mood Questionnaires/Mental and Psychiatric Health/Depression/Patient Health Questionnaire (PHQ-8)	Patient Health Questionnaire (PHQ)-8: Days from Randomization to Patient Health Questionnaire (PHQ)-8	Baseline Visit		integer		days from index date	96	-211.7	2113.2	0	-20698	365	2
LOFTHF	phq8_days_since_rndm	Patient Health Questionnaire (PHQ)-8: Days from Randomization to Patient Health Questionnaire (PHQ)-8	General Health and Mood Questionnaires/Mental and Psychiatric Health/Depression/Patient Health Questionnaire (PHQ-8)	Patient Health Questionnaire (PHQ)-8: Days from Randomization to Patient Health Questionnaire (PHQ)-8	6-Month Visit		integer		days from index date	71	193.4	25.2	186	153	319	5
LOFTHF	phq8_days_since_rndm	Patient Health Questionnaire (PHQ)-8: Days from Randomization to Patient Health Questionnaire (PHQ)-8	General Health and Mood Questionnaires/Mental and Psychiatric Health/Depression/Patient Health Questionnaire (PHQ-8)	Patient Health Questionnaire (PHQ)-8: Days from Randomization to Patient Health Questionnaire (PHQ)-8	12-Month Visit		integer		days from index date	33	378.1	31.5	369	348	523	8
LOFTHF	phq_8_total_score	Patient Health Questionnaire (PHQ)-8: Total Score (sum of 8 items)	General Health and Mood Questionnaires/Mental and Psychiatric Health/Depression/Patient Health Questionnaire (PHQ-8)	Patient Health Questionnaire (PHQ)-8: Total Score (sum of 8 items)	Screening Visit		integer			-	-	-	-	-	-	174
LOFTHF	phq_8_total_score	Patient Health Questionnaire (PHQ)-8: Total Score (sum of 8 items)	General Health and Mood Questionnaires/Mental and Psychiatric Health/Depression/Patient Health Questionnaire (PHQ-8)	Patient Health Questionnaire (PHQ)-8: Total Score (sum of 8 items)	Baseline Visit		integer			97	8.2	6.6	7	0	24	1
LOFTHF	phq_8_total_score	Patient Health Questionnaire (PHQ)-8: Total Score (sum of 8 items)	General Health and Mood Questionnaires/Mental and Psychiatric Health/Depression/Patient Health Questionnaire (PHQ-8)	Patient Health Questionnaire (PHQ)-8: Total Score (sum of 8 items)	6-Month Visit		integer			71	6.3	5.8	5	0	24	5
LOFTHF	phq_8_total_score	Patient Health Questionnaire (PHQ)-8: Total Score (sum of 8 items)	General Health and Mood Questionnaires/Mental and Psychiatric Health/Depression/Patient Health Questionnaire (PHQ-8)	Patient Health Questionnaire (PHQ)-8: Total Score (sum of 8 items)	12-Month Visit		integer			33	5.1	5.1	4	0	20	8
MESA	sleepage5c	Participant Age at MESA Sleep Visit	Administrative	Participant Age at MESA Sleep Visit			integer		years							
MESA	hoostmeq5c	Modified Horne-Ostberg Morningness-Eveningness Questionnaire (MEQ) Score	Sleep Questionnaires/Chronotype	Modified Horne-Ostberg Morningness-Eveningness Questionnaire (MEQ) Score			integer									
MESA	epslpscl5c	Epworth Sleepiness Scale: Total score	Sleep Questionnaires/Hypersomnia	Epworth Sleepiness Scale: Total score			integer									
MESA	whiirs5c	Women's Health Initiative Insomnia Rating Scale: Total score	Sleep Questionnaires/Sleep Disturbance or Insomnia/Women's Health Initiative Insomnia Rating Scale (WHIIRS)	Women's Health Initiative Insomnia Rating Scale: Total score			integer									
MROS	vs2age1	Age at Sleep Visit 2	Demographics	Age at Sleep Visit 2	Visit 1		integer		years	-	-	-	-	-	-	-
MROS	vs2age1	Age at Sleep Visit 2	Demographics	Age at Sleep Visit 2	Visit 2		integer		years	1026	81	4.4	80	73	90	1885
MROS	vsage1	Age at Sleep Visit 1	Demographics	Age at Sleep Visit 1	Visit 1		integer		years	2911	76.4	5.5	76	67	90	-
MROS	vsage1	Age at Sleep Visit 1	Demographics	Age at Sleep Visit 1	Visit 2		integer		years	-	-	-	-	-	-	-
MSP	mat_age	Maternal Age	Demographics	Maternal Age			integer		years							
