study_name	variable_name	variable_label	folder	description	visit	domain	type
ANSWERS	cssrs_lf_6	cssrs_lf_6Columbia Suicide Severity Ratings Scale: In your lifetime, have you taken steps toward making a suicide attempt or preparing to kill yourself (such as collecting pills, getting a gun, giving valuables away, or writing a suicide note)?	General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Columbia Suicide Severity Ratings Scale: In your lifetime, have you taken steps toward making a suicide attempt or preparing to kill yourself (such as collecting pills, getting a gun, giving valuables away, or writing a suicide note)?		0:No|1:Yes	choices
ANSWERS	cssrs_lf_7	cssrs_lf_7Columbia Suicide Severity Ratings Scale: In your lifetime, have you hurt yourself for reasons other than to die or without any intention of killing yourself (like to relieve stress, feel better, or get something else to happen)?	General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Columbia Suicide Severity Ratings Scale: In your lifetime, have you hurt yourself for reasons other than to die or without any intention of killing yourself (like to relieve stress, feel better, or get something else to happen)?		0:No|1:Yes	choices
ANSWERS	cssrs_lf_8	cssrs_lf_8Columbia Suicide Severity Ratings Scale: In your lifetime, have you made a suicide attempt?	General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Columbia Suicide Severity Ratings Scale: In your lifetime, have you made a suicide attempt?		0:No|1:Yes	choices
ANSWERS	nssi_lf	nssi_lfColumbia Suicide Severity Ratings Scale Summary Value: Non-suicidal self harm in lifetime	General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Columbia Suicide Severity Ratings Scale Summary Value: Non-suicidal self harm in lifetime		Yes:Yes|No:No	choices
ANSWERS	sa_lf	sa_lfColumbia Suicide Severity Ratings Scale Summary Value: Suicide attempt in lifetime	General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Columbia Suicide Severity Ratings Scale Summary Value: Suicide attempt in lifetime		Yes:Yes|No:No	choices
ANSWERS	si_lf_severity	si_lf_severityColumbia Suicide Severity Ratings Scale Summary Value: Suicidal ideation severity in lifetime	General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Columbia Suicide Severity Ratings Scale Summary Value: Suicidal ideation severity in lifetime			numeric
ANSWERS	si_lf_yn	si_lf_ynColumbia Suicide Severity Ratings Scale Summary Value: Suicidal ideation yes/no in lifetime	General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Columbia Suicide Severity Ratings Scale Summary Value: Suicidal ideation yes/no in lifetime		Yes:Yes|No:No	choices
ANSWERS	sp_lf	sp_lfColumbia Suicide Severity Ratings Scale Summary Value: Suicide planning in lifetime	General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Columbia Suicide Severity Ratings Scale Summary Value: Suicide planning in lifetime		Yes:Yes|No:No	choices
ANSWERS	inq_13	inq_13Interpersonal Needs Questionnaire: These days, I feel that there are people I can turn to in times of need	General Health/Interpersonal Needs Questionnaire	Interpersonal Needs Questionnaire: These days, I feel that there are people I can turn to in times of need		1:1 Not at all true for me|2:2|3:3|4:4 Somewhat true for me|5:5|6:6|7:7 Very true for me	choices
APOE	nsrr_age_gt89	nsrr_age_gt89Indicates whether the subject's age (in years) used during date obfuscation is greater than 89 years	Harmonized/Demographics	Indicates whether the subject's age (in years) used during date obfuscation is greater than 89 years		no:no|yes:yes	choices
APOE	nsrr_pctdursp_s1	nsrr_pctdursp_s1Percentage of total sleep duration (i.e., total sleep time, TST) in stage 1 from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Percentage of total sleep duration (i.e., total sleep time, TST) in stage 1 from polysomnography			numeric
APOE	nsrr_pctdursp_s2	nsrr_pctdursp_s2Percentage of total sleep duration (i.e., total sleep time, TST) in stage 2 from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Percentage of total sleep duration (i.e., total sleep time, TST) in stage 2 from polysomnography			numeric
APOE	nsrr_pctdursp_s3	nsrr_pctdursp_s3Percentage of total sleep duration (i.e., total sleep time, TST) in stage 3/4 from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Percentage of total sleep duration (i.e., total sleep time, TST) in stage 3/4 from polysomnography			numeric
APOE	nsrr_pctdursp_sr	nsrr_pctdursp_srPercentage of total sleep duration (i.e., total sleep time, TST) in REM from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Percentage of total sleep duration (i.e., total sleep time, TST) in REM from polysomnography			numeric
APOE	nsrr_tib_f1	nsrr_tib_f1Total period of bed (i.e., time in bed) from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Total period of bed (i.e., time in bed) from polysomnography			numeric
APOE	nsrr_tst_f1	nsrr_tst_f1Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from polysomnography			numeric
APOE	nsrr_ttleffsp_f1	nsrr_ttleffsp_f1Sleep Efficiency: the ratio of total sleep duration (i.e., total sleep time) to in-bed period (i.e., time in bed) from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Sleep Efficiency: the ratio of total sleep duration (i.e., total sleep time) to in-bed period (i.e., time in bed) from polysomnography			numeric
APOE	apoe_edf_date	apoe_edf_dateDate and start time of the polysomnogram	Administrative	Date and start time of the polysomnogram			time
APOE	apoe_id	apoe_idUnique identifier of the APoE participant	Administrative	Unique identifier of the APoE participant			string
APOE	current_med	current_medMedication list at the time of evaluation	Medical History/Medications	Medication list at the time of evaluation			string
APOE	pct_rem	pct_remPercentage of REM sleep among total sleep duration from type I polysomnography	Sleep Monitoring/Polysomnography/Sleep Architecture	Percentage of REM sleep among total sleep duration from type I polysomnography			numeric
APOE	pct_s1	pct_s1Percentage of stage 1 sleep among total sleep duration from type I polysomnography	Sleep Monitoring/Polysomnography/Sleep Architecture	Percentage of stage 1 sleep among total sleep duration from type I polysomnography			numeric
APOE	pct_s2	pct_s2Percentage of stage 2 sleep among total sleep duration from type I polysomnography	Sleep Monitoring/Polysomnography/Sleep Architecture	Percentage of stage 2 sleep among total sleep duration from type I polysomnography			numeric
APOE	pct_s3	pct_s3Percentage of stage 3 and 4 sleep among total sleep duration from type I polysomnography	Sleep Monitoring/Polysomnography/Sleep Architecture	Percentage of stage 3 and 4 sleep among total sleep duration from type I polysomnography			numeric
APOE	sleep_efficiency	sleep_efficiencySleep Efficiency: the ratio of sleep duration (i.e., total sleep time) to in-bed period (i.e., time in bed) from type I polysomnography	Sleep Monitoring/Polysomnography/Sleep Architecture	Sleep Efficiency: the ratio of sleep duration (i.e., total sleep time) to in-bed period (i.e., time in bed) from type I polysomnography			numeric
APOE	tib	tibTotal In-bed Period: the interval between lights off/in-bed time and lights on/out-bed time from polysomnography	Sleep Monitoring/Polysomnography/Sleep Architecture	Total In-bed Period: the interval between lights off/in-bed time and lights on/out-bed time from polysomnography			numeric
APOE	tst	tstTotal Sleep Duration: the interval between sleep onset time and lights on/out-bed time while the participant is asleep from type I polysomnography	Sleep Monitoring/Polysomnography/Sleep Architecture	Total Sleep Duration: the interval between sleep onset time and lights on/out-bed time while the participant is asleep from type I polysomnography			numeric
APPLES	nsrr_age_gt89	nsrr_age_gt89Indicate whether the subject's age (in years) used during date obfuscation is greater than 89 years.	Harmonized/Demographics	Indicate whether the subject's age (in years) used during date obfuscation is greater than 89 years.		no:no|yes:yes	choices
APPLES	nsrr_pctdursp_s1	nsrr_pctdursp_s1Percentage of total sleep duration (i.e., total sleep time, TST) in stage 1 from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Percentage of total sleep duration (i.e., total sleep time, TST) in stage 1 from polysomnography			numeric
APPLES	nsrr_pctdursp_s2	nsrr_pctdursp_s2Percentage of total sleep duration (i.e., total sleep time, TST) in stage 2 from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Percentage of total sleep duration (i.e., total sleep time, TST) in stage 2 from polysomnography			numeric
APPLES	nsrr_pctdursp_s3	nsrr_pctdursp_s3Percentage of total sleep duration (i.e., total sleep time, TST) in stage 3/4 from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Percentage of total sleep duration (i.e., total sleep time, TST) in stage 3/4 from polysomnography			numeric
APPLES	nsrr_pctdursp_sr	nsrr_pctdursp_srPercentage of total sleep duration (i.e., total sleep time, TST) in REM from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Percentage of total sleep duration (i.e., total sleep time, TST) in REM from polysomnography			numeric
APPLES	nsrr_ttldursp_f1	nsrr_ttldursp_f1Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from polysomnography			numeric
APPLES	nsrr_ttldurws_f1	nsrr_ttldurws_f1Wake After Sleep Onset: the total duration being awake between sleep onset and lights-on/out-bed time from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Wake After Sleep Onset: the total duration being awake between sleep onset and lights-on/out-bed time from polysomnography			numeric
APPLES	nsrr_ttleffsp_f1	nsrr_ttleffsp_f1Sleep Efficiency: the ratio of total sleep duration (i.e., total sleep time) to in-bed period (i.e., time in bed) from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Sleep Efficiency: the ratio of total sleep duration (i.e., total sleep time) to in-bed period (i.e., time in bed) from polysomnography			numeric
APPLES	nsrr_ttllatsp_f1	nsrr_ttllatsp_f1Sleep Latency: the interval between lights-out/in-bed time and sleep onset from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Sleep Latency: the interval between lights-out/in-bed time and sleep onset from polysomnography			integer
APPLES	nsrr_ttlprdbd_f1	nsrr_ttlprdbd_f1Total In-bed Period: the interval between lights off/in-bed time and lights on/out-bed time from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Total In-bed Period: the interval between lights off/in-bed time and lights on/out-bed time from polysomnography			numeric
APPLES	nsrrid	nsrridNSRR subject ID	Administrative	NSRR subject ID			identifier
APPLES	pfnrtc	pfnrtcCogscreen Pathfinder Number (PN) Reaction Time	Clinical Data/Neurocognitive Testing/Cogscreen Pathfinder Number (PN)	Cogscreen Pathfinder Number (PN) Reaction Time			numeric
APPLES	pfntotl	pfntotlCogscreen Pathfinder Number (PN) Total Time - 1 NC Outcome	Clinical Data/Neurocognitive Testing/Cogscreen Pathfinder Number (PN)	Cogscreen Pathfinder Number (PN) Total Time - 1 NC Outcome			numeric
APPLES	rrtslope	rrtslopePsychomotor Vigilance Test (PVT) Slope of the time on task vigilance decrement function (for 1/RT data)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Slope of the time on task vigilance decrement function (for 1/RT data)			numeric
BESTAIR	nsrrid	nsrridNSRR Subject Identifier	Administrative	NSRR Subject Identifier			identifier
BESTAIR	siteid	siteidRecoded Site ID	Administrative	Recoded Site ID		1:Site 1|2:Site 2|3:Site 3	choices
BESTAIR	nsrr_age_gt89	nsrr_age_gt89Indicates whether the subject's age (in years) used during date obfuscation is greater than 89 years	Harmonized/Demographics	Indicates whether the subject's age (in years) used during date obfuscation is greater than 89 years		no:no|yes:yes	choices
BESTAIR	nsrr_ever_smoker	nsrr_ever_smokerEver smoked cigarettes	Harmonized/Lifestyle and Behavioral Health	Ever smoked cigarettes		no:no|yes:yes	choices
BESTAIR	nsrr_ahi_hp4u_aasm15	nsrr_ahi_hp4u_aasm15Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction with >= 4% oxygen desaturation) / hour of estimated sleep	Harmonized/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction with >= 4% oxygen desaturation) / hour of estimated sleep			numeric
BESTAIR	ahi_primary	ahi_primaryApnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation) / hour of estimated sleep from type III home sleep apnea test	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation) / hour of estimated sleep from type III home sleep apnea test			numeric
BESTAIR	slp_eff	slp_effSleep Efficiency: the proportion of estimated sleep duration in in-bed period from type III home sleep test	Sleep Monitoring/Polysomnography/Sleep Architecture	Sleep Efficiency: the proportion of estimated sleep duration in in-bed period from type III home sleep test			numeric
BESTAIR	waso	wasoWake After Sleep Onset: the total duration between sleep onset and lights-on/out-bed time while being awake from type III home sleep test	Sleep Monitoring/Polysomnography/Sleep Architecture	Wake After Sleep Onset: the total duration between sleep onset and lights-on/out-bed time while being awake from type III home sleep test			numeric
BESTAIR	rvotvti	rvotvtiRight ventricular outflow tract (RVOT) velocity time integral (VTI)	Clinical Data/Diagnostic Studies/Echocardiography	Right ventricular outflow tract (RVOT) velocity time integral (VTI)			numeric
BESTAIR	endsleep	endsleepSleep end time	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Sleep end time			time
BESTAIR	endtime	endtimeEnd time	Clinical Data/Vital Signs/Ambulatory Blood Pressure	End time			time
BESTAIR	startsleep	startsleepSleep start time	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Sleep start time			time
BESTAIR	starttime	starttimeStart time	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Start time			time
CCSHS	bpdias	bpdiasDiastolic blood pressure (DBP) (mean of 6 measurements)	Clinical Data/Vital Signs/Seated Blood Pressure	Diastolic blood pressure (DBP) (mean of 6 measurements)			numeric
CCSHS	bphr	bphrHeart Rate (mean of 6 measurements)	Clinical Data/Vital Signs/Seated Blood Pressure	Heart Rate (mean of 6 measurements)			numeric
CCSHS	bpsys	bpsysSystolic blood pressure (SBP) (mean of 6 measurements)	Clinical Data/Vital Signs/Seated Blood Pressure	Systolic blood pressure (SBP) (mean of 6 measurements)			numeric
CCSHS	age	ageAge at time of visit	Demographics	Age at time of visit			numeric
CCSHS	nsrr_age_gt89	nsrr_age_gt89Indicates whether the subject's age (in years) used during date obfuscation is greater than 89 years	Harmonized/Demographics	Indicates whether the subject's age (in years) used during date obfuscation is greater than 89 years		no:no|yes:yes	choices
CCSHS	nsrr_ahi_hp3r_aasm15	nsrr_ahi_hp3r_aasm15Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep	Harmonized/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep			numeric
CCSHS	nsrr_ahi_hp4u_aasm15	nsrr_ahi_hp4u_aasm15Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction with >= 4% oxygen desaturation) / hour of sleep	Harmonized/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction with >= 4% oxygen desaturation) / hour of sleep			numeric
CCSHS	nsrr_begtimbd_f1	nsrr_begtimbd_f1Lights-out or in-bed clock time from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Lights-out or in-bed clock time from polysomnography			time
CCSHS	nsrr_begtimsp_f1	nsrr_begtimsp_f1Sleep onset time from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Sleep onset time from polysomnography			time
CCSHS	nsrr_endtimbd_f1	nsrr_endtimbd_f1Lights-on or out-bed clock time from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Lights-on or out-bed clock time from polysomnography			time
CCSHS	nsrr_pctdursp_s1	nsrr_pctdursp_s1Percentage of total sleep duration (i.e., total sleep time, TST) in stage 1 from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Percentage of total sleep duration (i.e., total sleep time, TST) in stage 1 from polysomnography			numeric
CCSHS	nsrr_pctdursp_s2	nsrr_pctdursp_s2Percentage of total sleep duration (i.e., total sleep time, TST) in stage 2 from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Percentage of total sleep duration (i.e., total sleep time, TST) in stage 2 from polysomnography			numeric
CCSHS	nsrr_pctdursp_s3	nsrr_pctdursp_s3Percentage of total sleep duration (i.e., total sleep time, TST) in stage 3/4 from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Percentage of total sleep duration (i.e., total sleep time, TST) in stage 3/4 from polysomnography			numeric
CCSHS	nsrr_pctdursp_sr	nsrr_pctdursp_srPercentage of total sleep duration (i.e., total sleep time, TST) in REM from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Percentage of total sleep duration (i.e., total sleep time, TST) in REM from polysomnography			numeric
CCSHS	nsrr_tst_f1	nsrr_tst_f1Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from polysomnography			numeric
CCSHS	nsrr_ttleffsp_f1	nsrr_ttleffsp_f1Sleep Efficiency: the ratio of total sleep duration (i.e., total sleep time) to in-bed period (i.e., time in bed) from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Sleep Efficiency: the ratio of total sleep duration (i.e., total sleep time) to in-bed period (i.e., time in bed) from polysomnography			numeric
CCSHS	nsrr_ttllatsp_f1	nsrr_ttllatsp_f1Sleep Latency: the interval between lights-out/in-bed time and sleep onset from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Sleep Latency: the interval between lights-out/in-bed time and sleep onset from polysomnography			numeric
CCSHS	nsrr_ttlmefsp_f1	nsrr_ttlmefsp_f1Sleep Maintenance Efficiency: the proportion of total sleep duration (i.e., total sleep time) in sleep period (i.e., interval between sleep onset and offset including wake) from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Sleep Maintenance Efficiency: the proportion of total sleep duration (i.e., total sleep time) in sleep period (i.e., interval between sleep onset and offset including wake) from polysomnography			numeric
CCSHS	ahi_a0h3a	ahi_a0h3aApnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography			numeric
CCSHS	ahi_a0h4	ahi_a0h4Apnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography			numeric
