study_name	variable_name	variable_label	folder	description	visit	domain	type	total_subjects	units	n	mean	stddev	median	min	max	unknown
ABC	nsrr_age	nsrr_ageSubject age	Harmonized/Demographics	Subject age	18-Month Followup		numeric		years	-	-	-	-	-	-	-
ABC	nsrr_ethnicity	nsrr_ethnicitySubject ethnicity	Harmonized/Demographics	Subject ethnicity			choices									
ABC	nsrr_race	nsrr_raceSubject race	Harmonized/Demographics	Subject race			choices									
ABC	nsrr_sex	nsrr_sexSubject sex	Harmonized/Demographics	Subject sex			choices									
ABC	nsrr_ahi_hp3u	nsrr_ahi_hp3uApnea-Hypopnea Index : (All apneas + hypopneas with >= 3% oxygen desaturation) / hour of sleep	Harmonized/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index : (All apneas + hypopneas with >= 3% oxygen desaturation) / hour of sleep	Baseline		numeric		events per hour	49	50.1	27.2	42.7	0.9	129.5	-
ABC	nsrr_ahi_hp3u	nsrr_ahi_hp3uApnea-Hypopnea Index : (All apneas + hypopneas with >= 3% oxygen desaturation) / hour of sleep	Harmonized/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index : (All apneas + hypopneas with >= 3% oxygen desaturation) / hour of sleep	9-Month Followup		numeric		events per hour	-	-	-	-	-	-	-
ABC	nsrr_ahi_hp3u	nsrr_ahi_hp3uApnea-Hypopnea Index : (All apneas + hypopneas with >= 3% oxygen desaturation) / hour of sleep	Harmonized/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index : (All apneas + hypopneas with >= 3% oxygen desaturation) / hour of sleep	18-Month Followup		numeric		events per hour	-	-	-	-	-	-	-
ABC	nsrr_ahi_hp4r	nsrr_ahi_hp4rApnea-Hypopnea Index : (All apneas + hypopneas with >= 4% oxygen desaturation or with arousal) / hour of sleep	Harmonized/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index : (All apneas + hypopneas with >= 4% oxygen desaturation or with arousal) / hour of sleep	Baseline		numeric		events per hour	49	45.0	27.8	37.8	0.9	124.0	-
ABC	nsrr_ahi_hp4r	nsrr_ahi_hp4rApnea-Hypopnea Index : (All apneas + hypopneas with >= 4% oxygen desaturation or with arousal) / hour of sleep	Harmonized/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index : (All apneas + hypopneas with >= 4% oxygen desaturation or with arousal) / hour of sleep	9-Month Followup		numeric		events per hour	-	-	-	-	-	-	-
ABC	nsrr_ahi_hp4r	nsrr_ahi_hp4rApnea-Hypopnea Index : (All apneas + hypopneas with >= 4% oxygen desaturation or with arousal) / hour of sleep	Harmonized/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index : (All apneas + hypopneas with >= 4% oxygen desaturation or with arousal) / hour of sleep	18-Month Followup		numeric		events per hour	-	-	-	-	-	-	-
ABC	ahi_ap0uhp3x3u_f1t1	ahi_ap0uhp3x3u_f1t1Apnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation and with or without arousal)  / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Apnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography	Baseline		numeric		events per hour	49	50.1	27.2	42.7	0.9	129.5	-
ABC	ahi_ap0uhp3x3u_f1t1	ahi_ap0uhp3x3u_f1t1Apnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation and with or without arousal)  / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Apnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography	9-Month Followup		numeric		events per hour	43	37.8	28.8	28.2	5.4	117.9	-
ABC	ahi_ap0uhp3x3u_f1t1	ahi_ap0uhp3x3u_f1t1Apnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation and with or without arousal)  / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Apnea-Hypopnea Index: (All apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography	18-Month Followup		numeric		events per hour	40	35.8	24.0	30.3	4.1	87.3	-
ABC	ess_total	ess_totalEpworth Sleepiness Scale: Total score	Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS)	Epworth Sleepiness Scale: Total score	Baseline		integer			49	10.1	4.5	9.0	3.0	22.0	-
ABC	ess_total	ess_totalEpworth Sleepiness Scale: Total score	Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS)	Epworth Sleepiness Scale: Total score	9-Month Followup		integer			43	7.7	4.6	6.0	0.0	19.0	-
ABC	ess_total	ess_totalEpworth Sleepiness Scale: Total score	Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS)	Epworth Sleepiness Scale: Total score	18-Month Followup		integer			40	7.3	4.2	6.0	2.0	20.0	-
ABC	daystomonth09	daystomonth09Days from baseline to 9-month visit	Administrative	Days from baseline to 9-month visit	Baseline		numeric		days	-	-	-	-	-	-	-
ABC	daystomonth09	daystomonth09Days from baseline to 9-month visit	Administrative	Days from baseline to 9-month visit	9-Month Followup		numeric		days	43	295.0	33.2	282.0	244.0	408.0	-
ABC	daystomonth09	daystomonth09Days from baseline to 9-month visit	Administrative	Days from baseline to 9-month visit	18-Month Followup		numeric		days	-	-	-	-	-	-	-
ABC	daystomonth18	daystomonth18Days from baseline to 18-month visit	Administrative	Days from baseline to 18-month visit	Baseline		numeric		days	-	-	-	-	-	-	-
ABC	daystomonth18	daystomonth18Days from baseline to 18-month visit	Administrative	Days from baseline to 18-month visit	9-Month Followup		numeric		days	-	-	-	-	-	-	-
ABC	daystomonth18	daystomonth18Days from baseline to 18-month visit	Administrative	Days from baseline to 18-month visit	18-Month Followup		numeric		days	40	576.5	58.4	561.0	514.0	813.0	-
ABC	daystosurgery	daystosurgeryDays from baseline to laparoscopic gastric banding (LGB) surgery	Administrative	Days from baseline to laparoscopic gastric banding (LGB) surgery	Baseline		numeric		days	15	122.4	91.7	95.0	55.0	426.0	34
ABC	daystosurgery	daystosurgeryDays from baseline to laparoscopic gastric banding (LGB) surgery	Administrative	Days from baseline to laparoscopic gastric banding (LGB) surgery	9-Month Followup		numeric		days	-	-	-	-	-	-	-
ABC	daystosurgery	daystosurgeryDays from baseline to laparoscopic gastric banding (LGB) surgery	Administrative	Days from baseline to laparoscopic gastric banding (LGB) surgery	18-Month Followup		numeric		days	-	-	-	-	-	-	-
ABC	surgery_occurred	surgery_occurredSurgery occurred	Administrative	Surgery occurred			choices									
ABC	height	heightHeight	Anthropometry	Height	Baseline		numeric		centimeters (cm)	49	170.4	10.0	171.6	146.9	187.9	-
ABC	height	heightHeight	Anthropometry	Height	9-Month Followup		numeric		centimeters (cm)	-	-	-	-	-	-	-
ABC	height	heightHeight	Anthropometry	Height	18-Month Followup		numeric		centimeters (cm)	-	-	-	-	-	-	-
ABC	weight	weightWeight	Anthropometry	Weight	Baseline		numeric		kilograms (kg)	49	113.6	16.5	113.5	76.3	152.0	-
ABC	weight	weightWeight	Anthropometry	Weight	9-Month Followup		numeric		kilograms (kg)	43	106.4	16.1	107.5	73.8	134.3	-
ABC	weight	weightWeight	Anthropometry	Weight	18-Month Followup		numeric		kilograms (kg)	40	106.2	17.0	108.9	68.8	133.5	-
ABC	active_ghrelin	active_ghrelinActive Ghrelin	Clinical Data/Laboratory Tests	Active Ghrelin	Baseline		numeric		pg/mL	48	270.8	224.1	197.5	33.0	1249.0	1
ABC	active_ghrelin	active_ghrelinActive Ghrelin	Clinical Data/Laboratory Tests	Active Ghrelin	9-Month Followup		numeric		pg/mL	41	248.3	212.7	188.0	27.0	928.0	2
ABC	active_ghrelin	active_ghrelinActive Ghrelin	Clinical Data/Laboratory Tests	Active Ghrelin	18-Month Followup		numeric		pg/mL	38	204.3	134.9	168.0	53.0	737.0	2
ABC	adiponectin_hmw	adiponectin_hmwAdiponectin - HMW	Clinical Data/Laboratory Tests	Adiponectin - HMW	Baseline		numeric		ug/mL	49	1.9	1.8	1.6	0.1	9.4	-
ABC	adiponectin_hmw	adiponectin_hmwAdiponectin - HMW	Clinical Data/Laboratory Tests	Adiponectin - HMW	9-Month Followup		numeric		ug/mL	43	2.5	2.2	1.8	0.2	10.7	-
ABC	adiponectin_hmw	adiponectin_hmwAdiponectin - HMW	Clinical Data/Laboratory Tests	Adiponectin - HMW	18-Month Followup		numeric		ug/mL	39	2.6	2.3	1.9	0.3	10.7	1
ABC	adiponectin_total	adiponectin_totalAdiponectin - Total	Clinical Data/Laboratory Tests	Adiponectin - Total	Baseline		numeric		ug/mL	49	4.0	2.4	3.3	1.0	13.2	-
ABC	adiponectin_total	adiponectin_totalAdiponectin - Total	Clinical Data/Laboratory Tests	Adiponectin - Total	9-Month Followup		numeric		ug/mL	43	4.7	3.0	4.1	1.2	15.6	-
ABC	adiponectin_total	adiponectin_totalAdiponectin - Total	Clinical Data/Laboratory Tests	Adiponectin - Total	18-Month Followup		numeric		ug/mL	39	4.9	3.0	4.3	1.2	14.4	1
ABC	bloods_creactivepro	bloods_creactiveproC-Reactive Protein, Cardiac	Clinical Data/Laboratory Tests	C-Reactive Protein, Cardiac	Baseline		numeric		mg/L	49	4.9	3.6	4.2	0.2	18.3	-
ABC	bloods_creactivepro	bloods_creactiveproC-Reactive Protein, Cardiac	Clinical Data/Laboratory Tests	C-Reactive Protein, Cardiac	9-Month Followup		numeric		mg/L	43	4.6	4.7	3.3	0.3	20.6	-
ABC	bloods_creactivepro	bloods_creactiveproC-Reactive Protein, Cardiac	Clinical Data/Laboratory Tests	C-Reactive Protein, Cardiac	18-Month Followup		numeric		mg/L	40	3.5	3.5	2.4	0.5	19.2	-
ABC	bloods_fibrinactivity	bloods_fibrinactivityFibrinogen Activity	Clinical Data/Laboratory Tests	Fibrinogen Activity	Baseline		numeric		mg/dL	49	325.6	77.1	330.0	-9.0	516.0	-
ABC	bloods_fibrinactivity	bloods_fibrinactivityFibrinogen Activity	Clinical Data/Laboratory Tests	Fibrinogen Activity	9-Month Followup		numeric		mg/dL	43	319.8	82.2	321.0	-9.0	560.0	-
ABC	bloods_fibrinactivity	bloods_fibrinactivityFibrinogen Activity	Clinical Data/Laboratory Tests	Fibrinogen Activity	18-Month Followup		numeric		mg/dL	40	315.0	54.5	306.0	191.0	481.0	-
ABC	bloods_hdlchol	bloods_hdlcholHDL Cholesterol	Clinical Data/Laboratory Tests	HDL Cholesterol	Baseline		numeric		mg/dL	49	42.6	11.0	40.0	24.0	80.0	-
ABC	bloods_hdlchol	bloods_hdlcholHDL Cholesterol	Clinical Data/Laboratory Tests	HDL Cholesterol	9-Month Followup		numeric		mg/dL	43	45.2	11.8	43.0	27.0	79.0	-
ABC	bloods_hdlchol	bloods_hdlcholHDL Cholesterol	Clinical Data/Laboratory Tests	HDL Cholesterol	18-Month Followup		numeric		mg/dL	40	46.6	12.9	46.0	28.0	81.0	-
ABC	bloods_hemoa1c	bloods_hemoa1cHemoglobin A1c	Clinical Data/Laboratory Tests	Hemoglobin A1c	Baseline		numeric		%	49	6.2	0.9	5.9	5.2	9.5	-
ABC	bloods_hemoa1c	bloods_hemoa1cHemoglobin A1c	Clinical Data/Laboratory Tests	Hemoglobin A1c	9-Month Followup		numeric		%	43	6.1	1.0	5.8	5.2	9.8	-
ABC	bloods_hemoa1c	bloods_hemoa1cHemoglobin A1c	Clinical Data/Laboratory Tests	Hemoglobin A1c	18-Month Followup		numeric		%	40	6.1	0.9	5.8	5.1	8.6	-
ABC	bloods_ldlcholcalc	bloods_ldlcholcalcLDL Cholesterol Calc	Clinical Data/Laboratory Tests	LDL Cholesterol Calc	Baseline		numeric		mg/dL	49	110.3	35.7	107.0	-8.0	179.0	-
ABC	bloods_ldlcholcalc	bloods_ldlcholcalcLDL Cholesterol Calc	Clinical Data/Laboratory Tests	LDL Cholesterol Calc	9-Month Followup		numeric		mg/dL	43	103.6	33.1	112.0	-8.0	160.0	-
ABC	bloods_ldlcholcalc	bloods_ldlcholcalcLDL Cholesterol Calc	Clinical Data/Laboratory Tests	LDL Cholesterol Calc	18-Month Followup		numeric		mg/dL	40	102.3	44.3	107.0	-8.0	184.0	-
ABC	bloods_serumgluc	bloods_serumglucGlucose, Serum	Clinical Data/Laboratory Tests	Glucose, Serum	Baseline		numeric		mg/dL	49	105.5	18.4	99.0	83.0	158.0	-
ABC	bloods_serumgluc	bloods_serumglucGlucose, Serum	Clinical Data/Laboratory Tests	Glucose, Serum	9-Month Followup		numeric		mg/dL	43	105.1	26.4	99.0	51.0	188.0	-
ABC	bloods_serumgluc	bloods_serumglucGlucose, Serum	Clinical Data/Laboratory Tests	Glucose, Serum	18-Month Followup		numeric		mg/dL	40	105.1	25.1	95.0	77.0	204.0	-
ABC	bloods_studyvisit	bloods_studyvisitStudy Visit	Clinical Data/Laboratory Tests	Study Visit	Baseline		numeric			49	0.0	0.0	0.0	0.0	0.0	-
ABC	bloods_studyvisit	bloods_studyvisitStudy Visit	Clinical Data/Laboratory Tests	Study Visit	9-Month Followup		numeric			43	9.0	0.0	9.0	9.0	9.0	-
ABC	bloods_studyvisit	bloods_studyvisitStudy Visit	Clinical Data/Laboratory Tests	Study Visit	18-Month Followup		numeric			40	18.0	0.0	18.0	18.0	18.0	-
ABC	bloods_totalchol	bloods_totalcholCholesterol, Total	Clinical Data/Laboratory Tests	Cholesterol, Total	Baseline		numeric		mg/dL	49	189.1	31.8	192.0	120.0	268.0	-
ABC	bloods_totalchol	bloods_totalcholCholesterol, Total	Clinical Data/Laboratory Tests	Cholesterol, Total	9-Month Followup		numeric		mg/dL	43	181.9	31.9	181.0	123.0	251.0	-
ABC	bloods_totalchol	bloods_totalcholCholesterol, Total	Clinical Data/Laboratory Tests	Cholesterol, Total	18-Month Followup		numeric		mg/dL	40	189.4	37.4	183.0	119.0	283.0	-
ABC	bloods_triglyc	bloods_triglycTriglycerides	Clinical Data/Laboratory Tests	Triglycerides	Baseline		numeric		mg/dL	49	172.5	80.3	151.0	60.0	487.0	-
ABC	bloods_triglyc	bloods_triglycTriglycerides	Clinical Data/Laboratory Tests	Triglycerides	9-Month Followup		numeric		mg/dL	43	161.6	91.6	126.0	54.0	530.0	-
ABC	bloods_triglyc	bloods_triglycTriglycerides	Clinical Data/Laboratory Tests	Triglycerides	18-Month Followup		numeric		mg/dL	40	169.0	111.5	143.5	49.0	548.0	-
ABC	bloods_urinecreatin	bloods_urinecreatinCreatinine, Urine	Clinical Data/Laboratory Tests	Creatinine, Urine	Baseline		numeric		mg/dL	49	127.1	75.6	116.2	15.2	311.4	-
ABC	bloods_urinecreatin	bloods_urinecreatinCreatinine, Urine	Clinical Data/Laboratory Tests	Creatinine, Urine	9-Month Followup		numeric		mg/dL	43	150.2	92.9	130.1	31.3	434.2	-
ABC	bloods_urinecreatin	bloods_urinecreatinCreatinine, Urine	Clinical Data/Laboratory Tests	Creatinine, Urine	18-Month Followup		numeric		mg/dL	40	150.6	95.5	135.8	18.4	371.8	-
ABC	bloods_urinemicro	bloods_urinemicroMicroalbumin, Urine	Clinical Data/Laboratory Tests	Microalbumin, Urine	Baseline		numeric		ug/mL	49	20.4	36.9	6.1	1.1	221.0	-
ABC	bloods_urinemicro	bloods_urinemicroMicroalbumin, Urine	Clinical Data/Laboratory Tests	Microalbumin, Urine	9-Month Followup		numeric		ug/mL	43	18.8	25.5	9.9	1.0	118.3	-
ABC	bloods_urinemicro	bloods_urinemicroMicroalbumin, Urine	Clinical Data/Laboratory Tests	Microalbumin, Urine	18-Month Followup		numeric		ug/mL	40	32.5	86.3	6.9	1.1	511.1	-
ABC	bloods_vldlcholcal	bloods_vldlcholcalVLDL Cholesterol Cal	Clinical Data/Laboratory Tests	VLDL Cholesterol Cal	Baseline		numeric		mg/dL	49	32.3	14.4	30.0	-8.0	74.0	-
ABC	bloods_vldlcholcal	bloods_vldlcholcalVLDL Cholesterol Cal	Clinical Data/Laboratory Tests	VLDL Cholesterol Cal	9-Month Followup		numeric		mg/dL	43	29.6	15.4	25.0	-8.0	61.0	-
ABC	bloods_vldlcholcal	bloods_vldlcholcalVLDL Cholesterol Cal	Clinical Data/Laboratory Tests	VLDL Cholesterol Cal	18-Month Followup		numeric		mg/dL	40	25.9	16.1	25.5	-8.0	66.0	-
ABC	epinephrine	epinephrineEpinephrine	Clinical Data/Laboratory Tests	Epinephrine	Baseline		numeric		ng/mL	49	2.5	1.3	2.1	0.7	5.7	-
ABC	epinephrine	epinephrineEpinephrine	Clinical Data/Laboratory Tests	Epinephrine	9-Month Followup		numeric		ng/mL	42	7.3	5.6	5.3	1.7	22.7	1
ABC	epinephrine	epinephrineEpinephrine	Clinical Data/Laboratory Tests	Epinephrine	18-Month Followup		numeric		ng/mL	39	6.2	4.4	4.7	1.1	16.0	1
ABC	il6	il6Il-6	Clinical Data/Laboratory Tests	Il-6	Baseline		numeric		pg/mL	49	7.6	20.0	3.4	1.6	138.5	-
ABC	il6	il6Il-6	Clinical Data/Laboratory Tests	Il-6	9-Month Followup		numeric		pg/mL	43	10.0	39.7	3.3	1.1	264.0	-
ABC	il6	il6Il-6	Clinical Data/Laboratory Tests	Il-6	18-Month Followup		numeric		pg/mL	39	7.1	22.5	2.8	0.8	143.2	1
ABC	insulin	insulinInsulin	Clinical Data/Laboratory Tests	Insulin	Baseline		numeric		uIU/mL	49	17.8	10.3	14.5	4.8	46.0	-
ABC	insulin	insulinInsulin	Clinical Data/Laboratory Tests	Insulin	9-Month Followup		numeric		uIU/mL	43	15.5	12.8	11.1	3.5	54.9	-
ABC	insulin	insulinInsulin	Clinical Data/Laboratory Tests	Insulin	18-Month Followup		numeric		uIU/mL	39	17.5	18.0	10.9	3.1	89.1	1
ABC	leptin	leptinLeptin	Clinical Data/Laboratory Tests	Leptin	Baseline		numeric		ng/mL	49	48.7	26.3	43.6	9.0	100.0	-
ABC	leptin	leptinLeptin	Clinical Data/Laboratory Tests	Leptin	9-Month Followup		numeric		ng/mL	43	39.6	22.7	36.1	4.5	100.0	-
ABC	leptin	leptinLeptin	Clinical Data/Laboratory Tests	Leptin	18-Month Followup		numeric		ng/mL	39	40.6	27.1	30.8	3.6	100.0	1
ABC	leptin_ceiling	leptin_ceilingLeptin was at ceiling (>100)	Clinical Data/Laboratory Tests	Leptin was at ceiling (>100)			choices									
ABC	norepinephrine	norepinephrineNorepinephrine	Clinical Data/Laboratory Tests	Norepinephrine	Baseline		numeric		ng/mL	49	47.4	36.0	39.7	4.3	183.0	-
ABC	norepinephrine	norepinephrineNorepinephrine	Clinical Data/Laboratory Tests	Norepinephrine	9-Month Followup		numeric		ng/mL	42	71.0	53.7	55.5	5.9	230.0	1
ABC	norepinephrine	norepinephrineNorepinephrine	Clinical Data/Laboratory Tests	Norepinephrine	18-Month Followup		numeric		ng/mL	39	63.9	60.7	47.6	4.5	279.0	1
ABC	pai1	pai1Pai-1	Clinical Data/Laboratory Tests	Pai-1	Baseline		numeric		ng/mL	49	10.1	5.6	9.3	1.6	20.0	-
ABC	pai1	pai1Pai-1	Clinical Data/Laboratory Tests	Pai-1	9-Month Followup		numeric		ng/mL	42	9.3	6.4	9.1	0.6	20.0	1
ABC	pai1	pai1Pai-1	Clinical Data/Laboratory Tests	Pai-1	18-Month Followup		numeric		ng/mL	39	9.2	6.5	7.3	0.9	20.0	1
ABC	pai1_ceiling	pai1_ceilingPAI-1 was at ceiling (>20)	Clinical Data/Laboratory Tests	PAI-1 was at ceiling (>20)			choices									
ABC	probnp	probnpproBNP	Clinical Data/Laboratory Tests	proBNP	Baseline		numeric		pg/mL	49	35.0	32.6	21.0	5.0	165.0	-
ABC	probnp	probnpproBNP	Clinical Data/Laboratory Tests	proBNP	9-Month Followup		numeric		pg/mL	43	42.2	34.6	29.0	5.0	154.0	-
ABC	probnp	probnpproBNP	Clinical Data/Laboratory Tests	proBNP	18-Month Followup		numeric		pg/mL	39	53.4	56.9	38.0	5.0	295.0	1
ABC	resistin	resistinResistin	Clinical Data/Laboratory Tests	Resistin	Baseline		numeric		ng/mL	49	9.6	3.2	9.7	3.8	18.7	-
ABC	resistin	resistinResistin	Clinical Data/Laboratory Tests	Resistin	9-Month Followup		numeric		ng/mL	43	9.7	3.0	9.6	4.7	16.8	-
ABC	resistin	resistinResistin	Clinical Data/Laboratory Tests	Resistin	18-Month Followup		numeric		ng/mL	39	9.0	2.6	8.8	4.8	14.3	1
ABC	uacr	uacrUrine albumin / urine creatinine ratio	Clinical Data/Laboratory Tests	Urine albumin / urine creatinine ratio	Baseline		numeric			49	22.1	53.8	6.0	1.5	369.6	-
ABC	uacr	uacrUrine albumin / urine creatinine ratio	Clinical Data/Laboratory Tests	Urine albumin / urine creatinine ratio	9-Month Followup		numeric			43	15.4	22.8	7.1	1.2	109.0	-
ABC	uacr	uacrUrine albumin / urine creatinine ratio	Clinical Data/Laboratory Tests	Urine albumin / urine creatinine ratio	18-Month Followup		numeric			40	30.6	98.0	6.6	1.1	615.8	-
ABC	uepicr	uepicrUrine epinephrine / urine creatinine ratio	Clinical Data/Laboratory Tests	Urine epinephrine / urine creatinine ratio	Baseline		numeric			49	0.002	0.001	0.002	0.0007	0.007	-
ABC	uepicr	uepicrUrine epinephrine / urine creatinine ratio	Clinical Data/Laboratory Tests	Urine epinephrine / urine creatinine ratio	9-Month Followup		numeric			42	0.006	0.005	0.004	0.001	0.04	1
ABC	uepicr	uepicrUrine epinephrine / urine creatinine ratio	Clinical Data/Laboratory Tests	Urine epinephrine / urine creatinine ratio	18-Month Followup		numeric			39	0.005	0.003	0.005	0.0006	0.02	1
ABC	unorepicr	unorepicrUrine norepinephrine / urine creatinine ratio	Clinical Data/Laboratory Tests	Urine norepinephrine / urine creatinine ratio	Baseline		numeric			49	0.04	0.02	0.03	0.01	0.1	-
ABC	unorepicr	unorepicrUrine norepinephrine / urine creatinine ratio	Clinical Data/Laboratory Tests	Urine norepinephrine / urine creatinine ratio	9-Month Followup		numeric			42	0.05	0.04	0.04	0.004	0.3	1
ABC	unorepicr	unorepicrUrine norepinephrine / urine creatinine ratio	Clinical Data/Laboratory Tests	Urine norepinephrine / urine creatinine ratio	18-Month Followup		numeric			39	0.04	0.03	0.04	0.007	0.1	1
ABC	giqli_emot	giqli_emotGastrointestinal Quality of Life Index: Emotions subscore	General Health/Gastrointestinal Quality of Life Index	Gastrointestinal Quality of Life Index: Emotions subscore	Baseline		numeric			49	13.4	2.9	14.0	4.0	17.0	-
ABC	giqli_emot	giqli_emotGastrointestinal Quality of Life Index: Emotions subscore	General Health/Gastrointestinal Quality of Life Index	Gastrointestinal Quality of Life Index: Emotions subscore	9-Month Followup		numeric			43	13.8	2.9	15.0	4.0	17.0	-
ABC	giqli_emot	giqli_emotGastrointestinal Quality of Life Index: Emotions subscore	General Health/Gastrointestinal Quality of Life Index	Gastrointestinal Quality of Life Index: Emotions subscore	18-Month Followup		numeric			40	14.2	2.2	15.0	9.0	17.0	-
ABC	giqli_emot_w	giqli_emot_wGastrointestinal Quality of Life Index: Emotions subscore (weighted)	General Health/Gastrointestinal Quality of Life Index	Gastrointestinal Quality of Life Index: Emotions subscore (weighted)	Baseline		numeric			49	2.7	0.6	2.8	0.8	3.4	-
ABC	giqli_emot_w	giqli_emot_wGastrointestinal Quality of Life Index: Emotions subscore (weighted)	General Health/Gastrointestinal Quality of Life Index	Gastrointestinal Quality of Life Index: Emotions subscore (weighted)	9-Month Followup		numeric			43	2.8	0.6	3.0	0.8	3.4	-
ABC	giqli_emot_w	giqli_emot_wGastrointestinal Quality of Life Index: Emotions subscore (weighted)	General Health/Gastrointestinal Quality of Life Index	Gastrointestinal Quality of Life Index: Emotions subscore (weighted)	18-Month Followup		numeric			40	2.8	0.4	3.0	1.8	3.4	-
ABC	giqli_med	giqli_medGastrointestinal Quality of Life Index: Medical treatment subscore	General Health/Gastrointestinal Quality of Life Index	Gastrointestinal Quality of Life Index: Medical treatment subscore	Baseline		numeric			49	3.5	1.0	4.0	0.0	4.0	-
ABC	giqli_med	giqli_medGastrointestinal Quality of Life Index: Medical treatment subscore	General Health/Gastrointestinal Quality of Life Index	Gastrointestinal Quality of Life Index: Medical treatment subscore	9-Month Followup		numeric			43	3.6	0.7	4.0	2.0	4.0	-
ABC	giqli_med	giqli_medGastrointestinal Quality of Life Index: Medical treatment subscore	General Health/Gastrointestinal Quality of Life Index	Gastrointestinal Quality of Life Index: Medical treatment subscore	18-Month Followup		numeric			40	3.6	0.9	4.0	0.0	4.0	-
ABC	giqli_namecode	giqli_namecodeNamecode	General Health/Gastrointestinal Quality of Life Index	Namecode	Baseline		numeric			49	0.0	0.0	0.0	0.0	0.0	-
ABC	giqli_namecode	giqli_namecodeNamecode	General Health/Gastrointestinal Quality of Life Index	Namecode	9-Month Followup		numeric			43	0.0	0.0	0.0	0.0	0.0	-
ABC	giqli_namecode	giqli_namecodeNamecode	General Health/Gastrointestinal Quality of Life Index	Namecode	18-Month Followup		numeric			40	0.0	0.0	0.0	0.0	0.0	-
