study_name	variable_name	type	category
BESTAIR	pfo	choices	categorical
BESTAIR	dianondipping	choices	categorical
BESTAIR	heartnondipping	choices	categorical
BESTAIR	mapnondipping	choices	categorical
BESTAIR	sysnondipping	choices	categorical
CCSHS	visit	choices	categorical
CCSHS	ethnicity	choices	categorical
CCSHS	male	choices	categorical
CCSHS	race	choices	categorical
CCSHS	nsrr_ethnicity	choices	categorical
CCSHS	nsrr_race	choices	categorical
CCSHS	nsrr_sex	choices	categorical
CCSHS	nsrr_current_smoker	choices	categorical
CCSHS	nsrr_ever_smoker	choices	categorical
CCSHS	nsrr_flag_spsw	choices	categorical
CCSHS	bmicat	choices	categorical
CCSHS	bmige85	choices	categorical
CCSHS	bmige95	choices	categorical
CCSHS	waistge75	choices	categorical
CCSHS	waistge90	choices	categorical
CCSHS	waistgt75	choices	categorical
CCSHS	waistgt90	choices	categorical
CCSHS	waistpctcat	choices	categorical
CFS	age_category	choices	categorical
CFS	ethnicity	choices	categorical
CFS	race	choices	categorical
CFS	sex	choices	categorical
CFS	nsrr_ethnicity	choices	categorical
CFS	nsrr_race	choices	categorical
CFS	nsrr_sex	choices	categorical
CFS	nsrr_current_smoker	choices	categorical
CFS	nsrr_ever_smoker	choices	categorical
CFS	nsrr_flag_spsw	choices	categorical
CFS	cvd	choices	categorical
CFS	diabetes2	choices	categorical
CFS	diachol	choices	categorical
CFS	typetx	choices	categorical
CFS	overall	choices	categorical
CHAT	clusterid	choices	categorical
CHAT	completer_per_protocol	choices	categorical
CHAT	arm	choices	categorical
CHAT	chi2	choices	categorical
CHAT	chi3	choices	categorical
CHAT	male	choices	categorical
CHAT	race3	choices	categorical
CHAT	chi5	choices	categorical
CHAT	nsrr_ethnicity	choices	categorical
CHAT	nsrr_race	choices	categorical
CHAT	nsrr_sex	choices	categorical
CHAT	nsrr_flag_spsw	choices	categorical
CHAT	oxitype	choices	categorical
CHAT	unittype	choices	categorical
DISECAD	nsrr_ethnicity	choices	categorical
DISECAD	nsrr_race	choices	categorical
DISECAD	nsrr_sex	choices	categorical
DISECAD	ethnicity	choices	categorical
DISECAD	married	choices	categorical
DISECAD	race	choices	categorical
DISECAD	sex	choices	categorical
DISECAD	language	choices	categorical
DISECAD	employment	choices	categorical
FDCSR	gender	choices	categorical
FDCSR	nsrr_sex	choices	categorical
FDCSR	visitnumber	choices	categorical
FDCSR	drug_placebo	choices	categorical
FDCSR	fd_t_cycle	choices	categorical
FDCSR	hab_csr	choices	categorical
FFCWS	nsrr_race	choices	categorical
FFCWS	nsrr_sex	choices	categorical
FFCWS	ck6ethrace	choices	categorical
FFCWS	cm1bsex	choices	categorical
FFCWS	a6_napper	choices	categorical
FFCWS	a6_wavestatus	choices	categorical
HAASSA	ambienx7	choices	categorical
HAASSA	benzox7	choices	categorical
HAASSA	chloralx7	choices	categorical
HAASSA	exam	choices	categorical
HAASSA	sedhypnx7	choices	categorical
HCHS	centernum	choices	categorical
HCHS	vnum	choices	categorical
HCHS	gendernum	choices	categorical
HCHS	nsrr_ethnicity	choices	categorical
HCHS	nsrr_hispanic_subgroup	choices	categorical
HCHS	nsrr_race	choices	categorical
HCHS	nsrr_sex	choices	categorical
HCHS	nsrr_current_smoker	choices	categorical
HCHS	nsrr_ever_smoker	choices	categorical
HCHS	any_permit	choices	categorical
HCHS	center	choices	categorical
HCHS	consent	choices	categorical
HCHS	dna_available	choices	categorical
HCHS	flag_agege65	choices	categorical
HCHS	flag_ahigt50	choices	categorical
HCHS	flag_bkgrd	choices	categorical
HCHS	flag_narc	choices	categorical
HCHS	flag_osa	choices	categorical
HCHS	full_afu_eligible	choices	categorical
HCHS	genotyping	choices	categorical
HCHS	sueno_eligible	choices	categorical
HCHS	listnum	choices	categorical
HCHS	bmigrp_c4	choices	categorical
HCHS	bmigrp_c4_sol_sueno	choices	categorical
HCHS	bmigrp_c6	choices	categorical
HCHS	bmigrp_c6_sol_sueno	choices	categorical
HCHS	airflow_limitation	choices	categorical
HCHS	airflow_obstruction	choices	categorical
HCHS	asthma_c4	choices	categorical
HCHS	asthma_c4_md	choices	categorical
HCHS	asthma_curr	choices	categorical
HCHS	asthma_curr_md	choices	categorical
HCHS	asthma_ever	choices	categorical
HCHS	asthma_ever_md	choices	categorical
HCHS	asthma_meds	choices	categorical
HCHS	bd_response_abs	choices	categorical
HCHS	copd_by_bd	choices	categorical
HCHS	copd_by_bd_allpre	choices	categorical
HCHS	copd_ever	choices	categorical
HCHS	copd_meds	choices	categorical
HCHS	copd_self	choices	categorical
HCHS	mrc_cb	choices	categorical
HCHS	phlegm	choices	categorical
HCHS	pneumonia	choices	categorical
HCHS	postbd_expected	choices	categorical
HCHS	valid_spirometry	choices	categorical
HCHS	valid_spirometry_postbd	choices	categorical
HCHS	valid_spirometry_postbd_v2	choices	categorical
HCHS	wheeze_last12	choices	categorical
HCHS	wheeze_sb	choices	categorical
HCHS	ecg_maj	choices	categorical
HCHS	ecg_min	choices	categorical
HCHS	no_disability_6item	choices	categorical
HCHS	cdcr_sueno	choices	categorical
HCHS	diabetes_self_sueno	choices	categorical
HCHS	diabetes_sueno	choices	categorical
HCHS	hypertension_sueno	choices	categorical
HCHS	ckd	choices	categorical
HCHS	dyslipidemia	choices	categorical
HCHS	high_total_chol	choices	categorical
HEARTBEAT	treatmentarm	choices	categorical
HEARTBEAT	agecat	choices	categorical
HEARTBEAT	ethnicity	choices	categorical
HEARTBEAT	male	choices	categorical
HEARTBEAT	race7	choices	categorical
HEARTBEAT	nsrr_ethnicity	choices	categorical
HEARTBEAT	nsrr_race	choices	categorical
HEARTBEAT	nsrr_sex	choices	categorical
HEARTBEAT	nsrr_current_smoker	choices	categorical
HEARTBEAT	nsrr_ever_smoker	choices	categorical
HEARTBEAT	exclusion06	choices	categorical
HEARTBEAT	incl04_angio	choices	categorical
HEARTBEAT	incl04_bmi30	choices	categorical
HEARTBEAT	incl04_carp	choices	categorical
HEARTBEAT	incl04_diab	choices	categorical
HEARTBEAT	incl04_dyslipid	choices	categorical
HEARTBEAT	incl04_htn	choices	categorical
HEARTBEAT	incl04_priormi	choices	categorical
HEARTBEAT	incl05_bscore	choices	categorical
HEARTBEAT	inclusion04	choices	categorical
HEARTBEAT	inclusion05	choices	categorical
HEARTBEAT	rctsource	choices	categorical
HEARTBEAT	cadpresent	choices	categorical
HEARTBEAT	adverseevent	choices	categorical
HEARTBEAT	ahihigh	choices	categorical
HEARTBEAT	ahilow	choices	categorical
HEARTBEAT	centap	choices	categorical
HEARTBEAT	dissatisfaction	choices	categorical
HEARTBEAT	failpm	choices	categorical
HEARTBEAT	illness	choices	categorical
HEARTBEAT	lastvisit	choices	categorical
HEARTBEAT	lossinterest	choices	categorical
HEARTBEAT	lostfollowup	choices	categorical
HEARTBEAT	noncompliance	choices	categorical
HEARTBEAT	nopm	choices	categorical
HEARTBEAT	oxysat	choices	categorical
HEARTBEAT	relocation	choices	categorical
HEARTBEAT	withdrawnconsent	choices	categorical
HEARTBEAT	withother	choices	categorical
HEARTBEAT	atrfib	choices	categorical
HEARTBEAT	atrflu	choices	categorical
HEARTBEAT	atrialenl	choices	categorical
HEARTBEAT	avcondis	choices	categorical
HEARTBEAT	earlyrep	choices	categorical
HEARTBEAT	ectopy	choices	categorical
HEARTBEAT	hypertro	choices	categorical
HEARTBEAT	infarct	choices	categorical
HEARTBEAT	ischant	choices	categorical
HEARTBEAT	ischinf	choices	categorical
HEARTBEAT	ischlat	choices	categorical
HEARTBEAT	ischmore	choices	categorical
HEARTBEAT	ischnone	choices	categorical
HEARTBEAT	normrhythm	choices	categorical
HEARTBEAT	oldinfarct	choices	categorical
HEARTBEAT	pacemaker	choices	categorical
HEARTBEAT	qrsivcd	choices	categorical
HEARTBEAT	qrslbbb	choices	categorical
HEARTBEAT	qrsnone	choices	categorical
HOMEPAP	treatmentarm	choices	categorical
HOMEPAP	ethnicity	choices	categorical
HOMEPAP	gender	choices	categorical
HOMEPAP	race7	choices	categorical
HOMEPAP	nsrr_ethnicity	choices	categorical
HOMEPAP	nsrr_race	choices	categorical
HOMEPAP	nsrr_sex	choices	categorical
HOMEPAP	visit	choices	categorical
HOMEPAP	completedm1	choices	categorical
HOMEPAP	completedm1m3	choices	categorical
HOMEPAP	completedm3	choices	categorical
HOMEPAP	crossover	choices	categorical
HOMEPAP	diagnostic	choices	categorical
HOMEPAP	eligible	choices	categorical
HOMEPAP	titrated	choices	categorical
HOMEPAP	dxadhd	choices	categorical
HOMEPAP	dxasth	choices	categorical
HOMEPAP	dxca	choices	categorical
HOMEPAP	dxchd	choices	categorical
HOMEPAP	dxchf	choices	categorical
HOMEPAP	dxdep	choices	categorical
HOMEPAP	dxdiab	choices	categorical
HOMEPAP	dxemph	choices	categorical
HOMEPAP	dxgerd	choices	categorical
HOMEPAP	dxhay	choices	categorical
HOMEPAP	dxhich	choices	categorical
HOMEPAP	dxhtn	choices	categorical
HOMEPAP	dxhyperthy	choices	categorical
HOMEPAP	dxhypothy	choices	categorical
HOMEPAP	dxkidney	choices	categorical
HOMEPAP	dxliver	choices	categorical
HOMEPAP	dxplhtn	choices	categorical
HOMEPAP	dxseiz	choices	categorical
HOMEPAP	dxstroke	choices	categorical
HOMEPAP	ahige15	choices	categorical
HOMEPAP	ablation	choices	categorical
HOMEPAP	diagtype	choices	categorical
ISAPS	nsrr_sex	choices	categorical
ISAPS	gender	choices	categorical
LOFTHF	arm_assignment	choices	categorical
LOFTHF	nsrr_ethnicity	choices	categorical
LOFTHF	nsrr_race	choices	categorical
LOFTHF	nsrr_sex	choices	categorical
LOFTHF	nsrr_ever_smoker	choices	categorical
LOFTHF	nsrr_flag_quality	choices	categorical
LOFTHF	nsrr_flag_spsw	choices	categorical
LOFTHF	info_obt1	choices	categorical
LOFTHF	info_obt2	choices	categorical
LOFTHF	subinfo_comply_study_reqmnts	choices	categorical
LOFTHF	subinfo_enrolled_other_study	choices	categorical
LOFTHF	subinfo_fully_understand_study	choices	categorical
LOFTHF	subinfo_meet_psg_criteria	choices	categorical
LOFTHF	subinfo_moving_within_year	choices	categorical
LOFTHF	subinfo_referral_source	choices	categorical
LOFTHF	subinfo_smoker	choices	categorical
LOFTHF	subinfo_continue_followup_visits	choices	categorical
LOFTHF	subinfo_primary_reason_sstopped	choices	categorical
LOFTHF	subinfo_primary_reason_tstopped	choices	categorical
LOFTHF	subinfo_stop_type	choices	categorical
LOFTHF	anthro_bp_pe_how_collected	choices	categorical
LOFTHF	hq_fam_medhx_child_heart_attack	choices	categorical
LOFTHF	hq_fam_medhx_child_sleep_apnea	choices	categorical
LOFTHF	hq_fam_medhx_child_stroke	choices	categorical
LOFTHF	hq_fam_medhx_have_children	choices	categorical
LOFTHF	hq_fam_medhx_have_siblings	choices	categorical
LOFTHF	hq_fam_medhx_parent_heart_attack	choices	categorical
LOFTHF	hq_fam_medhx_parent_sleep_apnea	choices	categorical
LOFTHF	hq_fam_medhx_parent_stroke	choices	categorical
LOFTHF	hq_fam_medhx_sib_heart_attack	choices	categorical
LOFTHF	hq_fam_medhx_sib_sleep_apnea	choices	categorical
LOFTHF	hq_fam_medhx_sib_stroke	choices	categorical
LOFTHF	eq5d_anx	choices	categorical
LOFTHF	eq5d_mobility	choices	categorical
LOFTHF	eq5d_pain_discomfort	choices	categorical
LOFTHF	eq5d_selfcare	choices	categorical
LOFTHF	eq5d_usual_activities	choices	categorical
LOFTHF	phq8_appetite_q5	choices	categorical
LOFTHF	phq8_difficultly_of_problems	choices	categorical
LOFTHF	phq8_feeling_bad_about_self_q6	choices	categorical
LOFTHF	phq8_feeling_down_q2	choices	categorical
LOFTHF	phq8_little_interest_q1	choices	categorical
LOFTHF	phq8_moving_or_speaking_q8	choices	categorical
LOFTHF	phq8_tired_q4	choices	categorical
MESA	cucmcn1c	choices	categorical
MESA	examnumber	choices	categorical
MESA	gender1	choices	categorical
MESA	nsrr_visit	choices	categorical
MESA	race1c	choices	categorical
MESA	site5c	choices	categorical
MESA	nsrr_current_smoker	choices	categorical
MESA	nsrr_ever_smoker	choices	categorical
MESA	nsrr_flag_spsw	choices	categorical
MESA	nsrr_race	choices	categorical
MESA	nsrr_sex	choices	categorical
MESA	overall5	choices	categorical
MESA	slewake5	choices	categorical
MESA	cursmk5	choices	categorical
MESA	smkstat5	choices	categorical
MROS	visit	choices	categorical
MROS	gender	choices	categorical
MROS	gierace	choices	categorical
MROS	girace	choices	categorical
MROS	nsrr_ethnicity	choices	categorical
MROS	nsrr_race	choices	categorical
MROS	nsrr_sex	choices	categorical
MROS	nsrr_current_smoker	choices	categorical
MROS	nsrr_ever_smoker	choices	categorical
MROS	nsrr_flag_spsw	choices	categorical
MROS	pocpap	choices	categorical
MROS	bparm	choices	categorical
MROS	bpbp	choices	categorical
MROS	bpbp2	choices	categorical
MROS	bpcuff	choices	categorical
MROS	bptrcf	choices	categorical
MROS	hwcircum	choices	categorical
MROS	hwgt4	choices	categorical
MROS	hwheight	choices	categorical
MROS	hwkyph	choices	categorical
MROS	hwpulse	choices	categorical
MSP	nsrr_race	choices	categorical
MSP	nsrr_sex	choices	categorical
MSP	nsrr_current_smoker	choices	categorical
MSP	visit	choices	categorical
MSP	mat_race	choices	categorical
MSP	diabetes	choices	categorical
MSP	hyperten	choices	categorical
MSP	inf_sex	choices	categorical
NCHSDB	nsrr_ethnicity	choices	categorical
NCHSDB	nsrr_race	choices	categorical
NCHSDB	nsrr_sex	choices	categorical
NCHSDB	encounter	choices	categorical
NCHSDB	pcori_gender_cd	choices	categorical
NCHSDB	pcori_hispanic_cd	choices	categorical
NCHSDB	pcori_race_cd	choices	categorical
NFS	sex	choices	categorical
NFS	nsrr_sex	choices	categorical
NFS	visit	choices	categorical
NUMOM2B	stdyvis	choices	categorical
NUMOM2B	crace	choices	categorical
NUMOM2B	nsrr_ethnicity	choices	categorical
NUMOM2B	nsrr_race	choices	categorical
NUMOM2B	nsrr_sex	choices	categorical
NUMOM2B	alertahi50_f1t3	choices	categorical
NUMOM2B	alertecgafib_f1t3	choices	categorical
NUMOM2B	alertecghr150_f1t3	choices	categorical
NUMOM2B	alertecghr40_f1t3	choices	categorical
NUMOM2B	alertecgsecond_f1t3	choices	categorical
NUMOM2B	alertecgthird_f1t3	choices	categorical
NUMOM2B	alertecgwide_f1t3	choices	categorical
NUMOM2B	alertecgyn_f1t3	choices	categorical
NUMOM2B	alerthyporest_f1t3	choices	categorical
NUMOM2B	alerthypoyn_f1t3	choices	categorical
NUMOM2B	anlysstartap_f1t3	choices	categorical
NUMOM2B	anlysstopap_f1t3	choices	categorical
NUMOM2B	reviewerid_f1t3	choices	categorical
NUMOM2B	scorerid_f1t3	choices	categorical
NUMOM2B	scoreridqs_f1t3	choices	categorical
NUMOM2B	stdytype_f1t3	choices	categorical
NUMOM2B	urgalertyn_f1t3	choices	categorical
PATS	studyinfo_randomized_arm	choices	categorical
PATS	nsrr_ethnicity	choices	categorical
PATS	nsrr_race	choices	categorical
PATS	nsrr_sex	choices	categorical
PATS	nsrr_flag_spsw	choices	categorical
PATS	consented_to_share_data	choices	categorical
PATS	randomized	choices	categorical
PATS	studyinfo_crossover	choices	categorical
PATS	studyinfo_crossover_reason	choices	categorical
PATS	studyinfo_had_surgery	choices	categorical
PATS	studyinfo_interim_visit	choices	categorical
PATS	studyinfo_last_visit	choices	categorical
PATS	studyinfo_month1	choices	categorical
PATS	studyinfo_month10	choices	categorical
PATS	studyinfo_month11	choices	categorical
PATS	studyinfo_month2	choices	categorical
PATS	studyinfo_month3	choices	categorical
PATS	studyinfo_month4	choices	categorical
PATS	studyinfo_month5	choices	categorical
PATS	studyinfo_month7	choices	categorical
PATS	studyinfo_month8	choices	categorical
PATS	studyinfo_month9	choices	categorical
PATS	studyinfo_stop_reason	choices	categorical
PATS	studyinfo_strat_age	choices	categorical
PATS	studyinfo_strat_bmip	choices	categorical
PATS	studyinfo_strat_race	choices	categorical
PATS	studyinfo_study_completion	choices	categorical
PATS	studyinfo_treatment_failure	choices	categorical
PATS	studyinfo_treat_stop_confirmed	choices	categorical
PATS	studyinfo_treat_stop_reason	choices	categorical
PATS	oper_adenoid_removal_technique	choices	categorical
PATS	oper_adenoid_size_pre_op	choices	categorical
PATS	oper_any_complication	choices	categorical
PATS	oper_ebl	choices	categorical
PATS	oper_left_tonsil_size_pre_op	choices	categorical
PATS	oper_post_op_adenoid_size	choices	categorical
PATS	oper_right_tonsil_size_pre_op	choices	categorical
PATS	oper_tonsil_removal_technique	choices	categorical
PATS	oper_tonsils_removed_completely	choices	categorical
PATS	post_breathing_worse_aft_surgery	choices	categorical
PATS	post_comments_yesno	choices	categorical
PATS	post_concern_med_professional	choices	categorical
PATS	post_concerns_voice	choices	categorical
PIMECFS	visit	choices	categorical
PIMECFS	nsrr_current_smoker	choices	categorical
PIMECFS	nsrr_ever_smoker	choices	categorical
PIMECFS	nsrr_ethnicity	choices	categorical
PIMECFS	nsrr_race	choices	categorical
PIMECFS	nsrr_sex	choices	categorical
PIMECFS	group	choices	categorical
PIMECFS	mj_use	choices	categorical
PIMECFS	smoking	choices	categorical
PIMECFS	canadian_criteria	choices	categorical
PIMECFS	fukuda_criteria	choices	categorical
PIMECFS	iom_criteria	choices	categorical
PIMECFS	bad_dreams	choices	categorical
PIMECFS	bathroom_night	choices	categorical
PIMECFS	cbcl_trouble_getting_to_sleep	choices	categorical
PIMECFS	conners_problems_with_sleep	choices	categorical
PIMECFS	feel_cold	choices	categorical
PIMECFS	feel_hot	choices	categorical
PIMECFS	pain	choices	categorical
PIMECFS	problem_enthusiasm	choices	categorical
PIMECFS	problem_stay_awake	choices	categorical
PIMECFS	resp_brthng_night	choices	categorical
PIMECFS	rx_help_sleep	choices	categorical
PIMECFS	sleep_quality	choices	categorical
PIMECFS	snore	choices	categorical
PIMECFS	trouble_sleep_other_spfy	choices	categorical
PIMECFS	promis_felt_alert_woke_up	choices	categorical
PIMECFS	promis_felt_irritable_poor_sleep	choices	categorical
PIMECFS	promis_felt_tired	choices	categorical
PIMECFS	promis_prob_day_poor_sleep	choices	categorical
PIMECFS	promis_trouble_stay_awake_day	choices	categorical
PIMECFS	primos_sleep_try_hard	choices	categorical
PIMECFS	promis_diff_fall_asleep	choices	categorical
PIMECFS	promis_fall_asleep_worry	choices	categorical
PIMECFS	promis_prob_sleep	choices	categorical
PIMECFS	promis_sleep_quality	choices	categorical
PIMECFS	promis_sleep_refresh	choices	categorical
PIMECFS	promis_sleep_restless	choices	categorical
PIMECFS	promis_sleep_satisfied	choices	categorical
PIMECFS	birth_sex	choices	categorical
PIMECFS	disability_status	choices	categorical
PIMECFS	ethnic_group	choices	categorical
PIMECFS	gender	choices	categorical
PIMECFS	marital_status	choices	categorical
PIMECFS	race	choices	categorical
PIMECFS	education	choices	categorical
SANDD	nsrr_ethnicity	choices	categorical
SANDD	nsrr_race	choices	categorical
SANDD	nsrr_sex	choices	categorical
SANDD	season_demsfile	choices	categorical
SANDD	completer	choices	categorical
SANDD	cond	choices	categorical
SANDD	condition_string	choices	categorical
SANDD	rey_admin	choices	categorical
SANDD	rey_copy_pct	choices	categorical
SANDD	rey_ffq1	choices	categorical
SANDD	rey_ffq2	choices	categorical
SANDD	rey_scored	choices	categorical
SANDD	rey_sent	choices	categorical
SANDD	verif_2p	choices	categorical
SANDD	bdi1	choices	categorical
SHINE	visitnumber	choices	categorical
SHINE	nsrr_race	choices	categorical
SHINE	nsrr_sex	choices	categorical
SHINE	elig_f	choices	categorical
SHINE	brstfd_c3	choices	categorical
SHINE	brstfd_mom	choices	categorical
SHINE	smkduringpreg_mom	choices	categorical
SHINE	stillbrstfd_mom	choices	categorical
SHINE	agesolid_mom	choices	categorical
SHINE	firstsolidfood_mom	choices	categorical
SHINE	otherbrstmilk_mom	choices	categorical
SHINE	babycries_mom	choices	categorical
SHINE	babyscreamify_mom	choices	categorical
SHINE	behavior10_mom	choices	categorical
SHINE	behavior11_mom	choices	categorical
SHINE	behavior12_mom	choices	categorical
SHINE	behavior13_mom	choices	categorical
SHINE	behavior14_mom	choices	categorical
SHINE	behavior15_mom	choices	categorical
SHINE	behavior16_mom	choices	categorical
SHINE	behavior17_mom	choices	categorical
SHINE	behavior18_mom	choices	categorical
SHINE	behavior19_mom	choices	categorical
SHINE	behavior1_mom	choices	categorical
SHINE	behavior21_mom	choices	categorical
SHINE	behavior22_mom	choices	categorical
SHINE	behavior23_mom	choices	categorical
SHINE	behavior24_mom	choices	categorical
SHINE	behavior25_mom	choices	categorical
SHINE	behavior26_mom	choices	categorical
SHINE	behavior27_mom	choices	categorical
SHINE	behavior28_mom	choices	categorical
SHINE	behavior29_mom	choices	categorical
SHINE	behavior2_mom	choices	categorical
SHINE	behavior30_mom	choices	categorical
SHINE	behavior31_mom	choices	categorical
SHINE	behavior32_mom	choices	categorical
SHINE	behavior33_mom	choices	categorical
SHINE	behavior34_mom	choices	categorical
SHINE	behavior35_mom	choices	categorical
SHINE	behavior36_mom	choices	categorical
SHINE	behavior37_mom	choices	categorical
SHINE	behavior38_mom	choices	categorical
SHINE	behavior39_mom	choices	categorical
SHINE	behavior3_mom	choices	categorical
SHINE	behavior40_mom	choices	categorical
SHINE	behavior41_mom	choices	categorical
SHINE	behavior42_mom	choices	categorical
SHINE	behavior43_mom	choices	categorical
SHINE	behavior44_mom	choices	categorical
SHINE	behavior45_mom	choices	categorical
SHINE	behavior47_mom	choices	categorical
SHINE	behavior48_mom	choices	categorical
SHINE	behavior49_mom	choices	categorical
SHINE	behavior4_mom	choices	categorical
SHINE	behavior50_mom	choices	categorical
SHINE	behavior51_mom	choices	categorical
SHINE	behavior52_mom	choices	categorical
SHINE	behavior53_mom	choices	categorical
SHINE	behavior54_mom	choices	categorical
SHINE	behavior55_mom	choices	categorical
SHINE	behavior56_mom	choices	categorical
SHINE	behavior57_mom	choices	categorical
SHINE	behavior58_mom	choices	categorical
SHINE	behavior5_mom	choices	categorical
SHINE	behavior60_mom	choices	categorical
SHINE	behavior61_mom	choices	categorical
SHHS	visitnumber	choices	categorical
SHHS	afibprevalent	choices	categorical
SHHS	any_chd	choices	categorical
SHHS	any_cvd	choices	categorical
SHHS	chd_death	choices	categorical
SHHS	cvd_death	choices	categorical
SHHS	mi_death	choices	categorical
SHHS	mi_fatal	choices	categorical
SHHS	stk_fatal	choices	categorical
SHHS	vital	choices	categorical
SHHS	gender	choices	categorical
SHHS	race	choices	categorical
