study_name	variable_name	variable_label	bdchm_class	CURIE	folder	description	domain	type
ANSWERS	cesd_19	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt that people dislike me.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cesd_2	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt fearful.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cesd_20	"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I could not get ""going""."	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cesd_3	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt that I could not shake off the blues even with help from my family or friends.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cesd_4	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt I was just as good as other people.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cesd_5	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I had trouble keeping my mind on what I was doing.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cesd_6	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt depressed.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cesd_7	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt that everything I did was an effort.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cesd_8	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt hopeful about the future.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cesd_9	Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I thought my life had been a failure.	QuestionnaireResponse	OMOP:40771087	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Item from the CESD Questionnaire.Radloff, L. S. (1977)Search for all CESD Questionnaire variables within this dataset	0:Rarely or none of the time (less than 1 day)|1:Some or a little of the time (1-2 days)|2:Occasionally or a moderate amount of time (3-4 days)|3:Most or all of the time (5-7 days)	choices
ANSWERS	cssrs_3mo_1	Columbia Suicide Severity Ratings Scale: In the last 3 months, have you wished you were dead or wished you could go to sleep and not wake up?	QuestionnaireResponse		General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Item from a modified version of the CSSRS Questionnaire.Salvi 2019 (PMID: 31039299)Search for all CSSRS Questionnaire variables within this dataset	0:No|1:Yes	choices
ANSWERS	cssrs_3mo_2	Columbia Suicide Severity Ratings Scale: In the last 3 months, have you had any thoughts of killing yourself?	QuestionnaireResponse		General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Item from a modified version of the CSSRS Questionnaire.Salvi 2019 (PMID: 31039299)Search for all CSSRS Questionnaire variables within this dataset	0:No|1:Yes	choices
ANSWERS	cssrs_3mo_3	Columbia Suicide Severity Ratings Scale: In the last 3 months, have you been thinking about how you might kill yourself?	QuestionnaireResponse		General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Item from a modified version of the CSSRS Questionnaire.Salvi 2019 (PMID: 31039299)Search for all CSSRS Questionnaire variables within this dataset	0:No|1:Yes	choices
ANSWERS	cssrs_3mo_4	Columbia Suicide Severity Ratings Scale: In the last 3 months, have you had these thoughts and had some intention of acting on them?	QuestionnaireResponse		General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Item from a modified version of the CSSRS Questionnaire.Salvi 2019 (PMID: 31039299)Search for all CSSRS Questionnaire variables within this dataset	0:No|1:Yes	choices
ANSWERS	cssrs_3mo_5	Columbia Suicide Severity Ratings Scale: In the last 3 months, have you worked out the details of how to kill yourself? Do you intend to carry out this plan?	QuestionnaireResponse		General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Item from a modified version of the CSSRS Questionnaire.Salvi 2019 (PMID: 31039299)Search for all CSSRS Questionnaire variables within this dataset	0:No|1:Yes	choices
ANSWERS	cssrs_3mo_6	Columbia Suicide Severity Ratings Scale: In the last 3 months, have you taken steps toward making a suicide attempt or preparing to kill yourself (such as collecting pills, getting a gun, giving valuables away, or writing a suicide note)?	QuestionnaireResponse		General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Item from a modified version of the CSSRS Questionnaire.Salvi 2019 (PMID: 31039299)Search for all CSSRS Questionnaire variables within this dataset	0:No|1:Yes	choices
ANSWERS	cssrs_3mo_7	Columbia Suicide Severity Ratings Scale: In the last 3 months, have you hurt yourself for reasons other than to die or without any intention of killing yourself (like to relieve stress, feel better, or get something else to happen)?	QuestionnaireResponse		General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Item from a modified version of the CSSRS Questionnaire.Salvi 2019 (PMID: 31039299)Search for all CSSRS Questionnaire variables within this dataset	0:No|1:Yes	choices
ANSWERS	cssrs_3mo_8	Columbia Suicide Severity Ratings Scale: In the last 3 months, have you made a suicide attempt?	QuestionnaireResponse		General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Item from a modified version of the CSSRS Questionnaire.Salvi 2019 (PMID: 31039299)Search for all CSSRS Questionnaire variables within this dataset	0:No|1:Yes	choices
ANSWERS	cssrs_lf_1	Columbia Suicide Severity Ratings Scale: In your lifetime, have you wished you were dead or wished you could go to sleep and not wake up?	QuestionnaireResponse		General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Item from a modified version of the CSSRS Questionnaire.Salvi 2019 (PMID: 31039299)Search for all CSSRS Questionnaire variables within this dataset	0:No|1:Yes	choices
ANSWERS	cssrs_lf_2	Columbia Suicide Severity Ratings Scale: In your lifetime, have you had any thoughts of killing yourself?	QuestionnaireResponse		General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Item from a modified version of the CSSRS Questionnaire.Salvi 2019 (PMID: 31039299)Search for all CSSRS Questionnaire variables within this dataset	0:No|1:Yes	choices
ANSWERS	cssrs_lf_3	Columbia Suicide Severity Ratings Scale: In your lifetime, have you been thinking about how you might kill yourself?	QuestionnaireResponse		General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Item from a modified version of the CSSRS Questionnaire.Salvi 2019 (PMID: 31039299)Search for all CSSRS Questionnaire variables within this dataset	0:No|1:Yes	choices
ANSWERS	cssrs_lf_4	Columbia Suicide Severity Ratings Scale: In your lifetime, have you had these thoughts and had some intention of acting on them?	QuestionnaireResponse		General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Item from a modified version of the CSSRS Questionnaire.Salvi 2019 (PMID: 31039299)Search for all CSSRS Questionnaire variables within this dataset	0:No|1:Yes	choices
ANSWERS	cssrs_lf_5	Columbia Suicide Severity Ratings Scale: In your lifetime, have you worked out the details of how to kill yourself? Do you intend to carry out this plan?	QuestionnaireResponse		General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Item from a modified version of the CSSRS Questionnaire.Salvi 2019 (PMID: 31039299)Search for all CSSRS Questionnaire variables within this dataset	0:No|1:Yes	choices
ANSWERS	cssrs_lf_6	Columbia Suicide Severity Ratings Scale: In your lifetime, have you taken steps toward making a suicide attempt or preparing to kill yourself (such as collecting pills, getting a gun, giving valuables away, or writing a suicide note)?	QuestionnaireResponse		General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Item from a modified version of the CSSRS Questionnaire.Salvi 2019 (PMID: 31039299)Search for all CSSRS Questionnaire variables within this dataset	0:No|1:Yes	choices
ANSWERS	cssrs_lf_7	Columbia Suicide Severity Ratings Scale: In your lifetime, have you hurt yourself for reasons other than to die or without any intention of killing yourself (like to relieve stress, feel better, or get something else to happen)?	QuestionnaireResponse		General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Item from a modified version of the CSSRS Questionnaire.Salvi 2019 (PMID: 31039299)Search for all CSSRS Questionnaire variables within this dataset	0:No|1:Yes	choices
ANSWERS	cssrs_lf_8	Columbia Suicide Severity Ratings Scale: In your lifetime, have you made a suicide attempt?	QuestionnaireResponse		General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Item from a modified version of the CSSRS Questionnaire.Salvi 2019 (PMID: 31039299)Search for all CSSRS Questionnaire variables within this dataset	0:No|1:Yes	choices
ANSWERS	education	What is the highest level of education you have completed?	Demography		Demographics/Education		College or more: Bachelors or Associates degree / Masters Degree / Doctoral degree|High school or less: Less than high school / High school or equivalent / Some college	choices
ANSWERS	ethnicity	What is your ethnicity?	Demography		Demographics		Non:Hispanic: Non-Hispanic / Latino|Hispanic:Hispanic / Latino	choices
ANSWERS	gad_1	Generalized Anxiety Disorder-7 Questionnaire: Please rate the following symptoms for the past two (2) weeks: Feeling nervous, anxious, or on edge	QuestionnaireResponse	OMOP:40771086	General Health/Generalized Anxiety Disorder Questionnaire (GAD-7)	Item from the GAD-7 Questionnaire.Spitzer et al, 2006 (PubMed ID: 16717171)Search for all GAD-7 Questionnaire variables within this dataset	0:Not at all|1:Several days|2:Over half the days|3:Nearly every day	choices
ANSWERS	gad_2	Generalized Anxiety Disorder-7 Questionnaire: Please rate the following symptoms for the past two (2) weeks: Not being able to stop or control worrying	QuestionnaireResponse	OMOP:40771086	General Health/Generalized Anxiety Disorder Questionnaire (GAD-7)	Item from the GAD-7 Questionnaire.Spitzer et al, 2006 (PubMed ID: 16717171)Search for all GAD-7 Questionnaire variables within this dataset	0:Not at all|1:Several days|2:Over half the days|3:Nearly every day	choices
ANSWERS	gad_3	Generalized Anxiety Disorder-7 Questionnaire: Please rate the following symptoms for the past two (2) weeks: Worrying too much about different things	QuestionnaireResponse	OMOP:40771086	General Health/Generalized Anxiety Disorder Questionnaire (GAD-7)	Item from the GAD-7 Questionnaire.Spitzer et al, 2006 (PubMed ID: 16717171)Search for all GAD-7 Questionnaire variables within this dataset	0:Not at all|1:Several days|2:Over half the days|3:Nearly every day	choices
ANSWERS	gad_4	Generalized Anxiety Disorder-7 Questionnaire: Please rate the following symptoms for the past two (2) weeks: Trouble relaxing	QuestionnaireResponse	OMOP:40771086	General Health/Generalized Anxiety Disorder Questionnaire (GAD-7)	Item from the GAD-7 Questionnaire.Spitzer et al, 2006 (PubMed ID: 16717171)Search for all GAD-7 Questionnaire variables within this dataset	0:Not at all|1:Several days|2:Over half the days|3:Nearly every day	choices
ANSWERS	gad_5	Generalized Anxiety Disorder-7 Questionnaire: Please rate the following symptoms for the past two (2) weeks: Being so restless that it is hard to sit still	QuestionnaireResponse	OMOP:40771086	General Health/Generalized Anxiety Disorder Questionnaire (GAD-7)	Item from the GAD-7 Questionnaire.Spitzer et al, 2006 (PubMed ID: 16717171)Search for all GAD-7 Questionnaire variables within this dataset	0:Not at all|1:Several days|2:Over half the days|3:Nearly every day	choices
ANSWERS	gad_6	Generalized Anxiety Disorder-7 Questionnaire: Please rate the following symptoms for the past two (2) weeks: Becoming easily annoyed or irritable	QuestionnaireResponse	OMOP:40771086	General Health/Generalized Anxiety Disorder Questionnaire (GAD-7)	Item from the GAD-7 Questionnaire.Spitzer et al, 2006 (PubMed ID: 16717171)Search for all GAD-7 Questionnaire variables within this dataset	0:Not at all|1:Several days|2:Over half the days|3:Nearly every day	choices
ANSWERS	gad_7	Generalized Anxiety Disorder-7 Questionnaire: Please rate the following symptoms for the past two (2) weeks: Feeling afraid, as if something awful might happen	QuestionnaireResponse	OMOP:40771086	General Health/Generalized Anxiety Disorder Questionnaire (GAD-7)	Item from the GAD-7 Questionnaire.Spitzer et al, 2006 (PubMed ID: 16717171)Search for all GAD-7 Questionnaire variables within this dataset	0:Not at all|1:Several days|2:Over half the days|3:Nearly every day	choices
ANSWERS	handedness	Which is your dominant hand?			Anthropometry		Right:Right-handed|Left:Left-handed|Both:Both hands (ambidextrous)	choices
ANSWERS	id	Id			Administrative	Record ID		identifier
ANSWERS	income	What is your current income?	Demography		Demographics/Employment		< $25,000: < $25,000|$25,000 - $50,000: $25,000 - $50,000|$50,000 - $100,000: $50,000 - $100,000|$100,000 - $200,000: $100,000 - $200,000|>$200,000: >$200,000|Prefer not to say: Prefer not to say	choices
ANSWERS	inq_1	Interpersonal Needs Questionnaire: These days, the people in my life would be better off if I were gone	QuestionnaireResponse		General Health/Interpersonal Needs Questionnaire	Item from the Interpersonal Needs Questionnaire.Van Orden et al, 2006 (PubMed ID: 21928908)Original text: Please respond to each question by using your own current beliefs and experiences, NOT what you think is true in general, or what might be true for other people. Please base your responses on how you've been feeling recently. Use the rating scale to find the number that best matches how you feel and circle that number. There are no right or wrong answers: we are interested in what you think and feel.Search for all Interpersonal Needs Questionnaire variables within this dataset	1:1 Not at all true for me|2:2|3:3|4:4 Somewhat true for me|5:5|6:6|7:7 Very true for me	choices
ANSWERS	inq_10	Interpersonal Needs Questionnaire: These days, I am fortunate to have many caring and supportive friends	QuestionnaireResponse		General Health/Interpersonal Needs Questionnaire	Item from the Interpersonal Needs Questionnaire.Van Orden et al, 2006 (PubMed ID: 21928908)Original text: Please respond to each question by using your own current beliefs and experiences, NOT what you think is true in general, or what might be true for other people. Please base your responses on how you've been feeling recently. Use the rating scale to find the number that best matches how you feel and circle that number. There are no right or wrong answers: we are interested in what you think and feel.Search for all Interpersonal Needs Questionnaire variables within this dataset	1:1 Not at all true for me|2:2|3:3|4:4 Somewhat true for me|5:5|6:6|7:7 Very true for me	choices
ANSWERS	inq_11	Interpersonal Needs Questionnaire: These days, I feel disconnected from other people	QuestionnaireResponse		General Health/Interpersonal Needs Questionnaire	Item from the Interpersonal Needs Questionnaire.Van Orden et al, 2006 (PubMed ID: 21928908)Original text: Please respond to each question by using your own current beliefs and experiences, NOT what you think is true in general, or what might be true for other people. Please base your responses on how you've been feeling recently. Use the rating scale to find the number that best matches how you feel and circle that number. There are no right or wrong answers: we are interested in what you think and feel.Search for all Interpersonal Needs Questionnaire variables within this dataset	1:1 Not at all true for me|2:2|3:3|4:4 Somewhat true for me|5:5|6:6|7:7 Very true for me	choices
ANSWERS	inq_12	Interpersonal Needs Questionnaire: These days, I often feel like an outsider in social gatherings	QuestionnaireResponse		General Health/Interpersonal Needs Questionnaire	Item from the Interpersonal Needs Questionnaire.Van Orden et al, 2006 (PubMed ID: 21928908)Original text: Please respond to each question by using your own current beliefs and experiences, NOT what you think is true in general, or what might be true for other people. Please base your responses on how you've been feeling recently. Use the rating scale to find the number that best matches how you feel and circle that number. There are no right or wrong answers: we are interested in what you think and feel.Search for all Interpersonal Needs Questionnaire variables within this dataset	1:1 Not at all true for me|2:2|3:3|4:4 Somewhat true for me|5:5|6:6|7:7 Very true for me	choices
ANSWERS	inq_13	Interpersonal Needs Questionnaire: These days, I feel that there are people I can turn to in times of need	QuestionnaireResponse		General Health/Interpersonal Needs Questionnaire	Item from the Interpersonal Needs Questionnaire.Van Orden et al, 2006 (PubMed ID: 21928908)Original text: Please respond to each question by using your own current beliefs and experiences, NOT what you think is true in general, or what might be true for other people. Please base your responses on how you've been feeling recently. Use the rating scale to find the number that best matches how you feel and circle that number. There are no right or wrong answers: we are interested in what you think and feel.Search for all Interpersonal Needs Questionnaire variables within this dataset	1:1 Not at all true for me|2:2|3:3|4:4 Somewhat true for me|5:5|6:6|7:7 Very true for me	choices
ANSWERS	inq_14	Interpersonal Needs Questionnaire: These days, I am close to other people	QuestionnaireResponse		General Health/Interpersonal Needs Questionnaire	Item from the Interpersonal Needs Questionnaire.Van Orden et al, 2006 (PubMed ID: 21928908)Original text: Please respond to each question by using your own current beliefs and experiences, NOT what you think is true in general, or what might be true for other people. Please base your responses on how you've been feeling recently. Use the rating scale to find the number that best matches how you feel and circle that number. There are no right or wrong answers: we are interested in what you think and feel.Search for all Interpersonal Needs Questionnaire variables within this dataset	1:1 Not at all true for me|2:2|3:3|4:4 Somewhat true for me|5:5|6:6|7:7 Very true for me	choices
ANSWERS	inq_15	Interpersonal Needs Questionnaire: These days, I have at least one satisfying interaction every day	QuestionnaireResponse		General Health/Interpersonal Needs Questionnaire	Item from the Interpersonal Needs Questionnaire.Van Orden et al, 2006 (PubMed ID: 21928908)Original text: Please respond to each question by using your own current beliefs and experiences, NOT what you think is true in general, or what might be true for other people. Please base your responses on how you've been feeling recently. Use the rating scale to find the number that best matches how you feel and circle that number. There are no right or wrong answers: we are interested in what you think and feel.Search for all Interpersonal Needs Questionnaire variables within this dataset	1:1 Not at all true for me|2:2|3:3|4:4 Somewhat true for me|5:5|6:6|7:7 Very true for me	choices
ANSWERS	inq_2	Interpersonal Needs Questionnaire: These days, the people in my life would be happier without me	QuestionnaireResponse		General Health/Interpersonal Needs Questionnaire	Item from the Interpersonal Needs Questionnaire.Van Orden et al, 2006 (PubMed ID: 21928908)Original text: Please respond to each question by using your own current beliefs and experiences, NOT what you think is true in general, or what might be true for other people. Please base your responses on how you've been feeling recently. Use the rating scale to find the number that best matches how you feel and circle that number. There are no right or wrong answers: we are interested in what you think and feel.Search for all Interpersonal Needs Questionnaire variables within this dataset	1:1 Not at all true for me|2:2|3:3|4:4 Somewhat true for me|5:5|6:6|7:7 Very true for me	choices
ANSWERS	inq_3	Interpersonal Needs Questionnaire: These days, I think I am a burden on society	QuestionnaireResponse		General Health/Interpersonal Needs Questionnaire	Item from the Interpersonal Needs Questionnaire.Van Orden et al, 2006 (PubMed ID: 21928908)Original text: Please respond to each question by using your own current beliefs and experiences, NOT what you think is true in general, or what might be true for other people. Please base your responses on how you've been feeling recently. Use the rating scale to find the number that best matches how you feel and circle that number. There are no right or wrong answers: we are interested in what you think and feel.Search for all Interpersonal Needs Questionnaire variables within this dataset	1:1 Not at all true for me|2:2|3:3|4:4 Somewhat true for me|5:5|6:6|7:7 Very true for me	choices
